node_id,z,y,x,degree,is_interior,embedded,iou,fill,inscribed_radius_vox,diameter_um,radius_fill_vox,diameter_fill_um,box_material_frac,saturated
0,28.93556,52.49134,62.28862,3,0,0,0.06200,0.08683,0.00000,0.00000,0.00000,0.00000,0.08986,0
1,29.07859,91.59580,101.54215,8,0,0,0.24558,1.00000,7.00000,814.50128,10.51298,1223.26221,0.61510,0
2,28.93802,131.19669,62.74733,5,0,0,0.22695,0.61538,1.00000,116.35732,0.00000,0.00000,0.31898,0
3,29.08105,170.30116,102.00086,8,0,0,0.24796,1.00000,8.00000,930.85858,12.00000,1396.28784,0.66464,0
4,28.94048,209.90204,63.20605,5,0,0,0.22379,0.61157,1.41421,164.55411,0.00000,0.00000,0.32710,0
5,29.08351,249.00651,102.45958,8,0,0,0.24284,1.00000,8.06226,938.10272,12.00000,1396.28784,0.66957,0
6,28.94293,288.60740,63.66476,5,0,0,0.22388,0.62849,1.00000,116.35732,0.00000,0.00000,0.34061,0
7,29.08596,327.71186,102.91829,8,0,0,0.24693,1.00000,8.00000,930.85858,12.00000,1396.28784,0.67181,0
8,28.94539,367.31275,64.12347,5,0,0,0.21988,0.60000,1.41421,164.55411,0.00000,0.00000,0.32934,0
9,29.08842,406.41721,103.37701,8,0,0,0.24238,1.00000,8.00000,930.85858,12.00000,1396.28784,0.66714,0
10,28.94785,446.01810,64.58219,5,0,0,0.22079,0.61944,1.00000,116.35732,0.00000,0.00000,0.34662,0
11,29.09088,485.12256,103.83572,8,0,0,0.25206,1.00000,8.24621,959.50702,12.00000,1396.28784,0.66739,0
12,28.95031,524.72345,65.04090,5,0,0,0.24855,0.71074,2.00000,232.71465,0.00000,0.00000,0.33683,0
13,29.09334,563.82791,104.29443,8,0,0,0.24509,1.00000,8.00000,930.85858,12.00000,1396.28784,0.64173,0
14,28.95277,603.42880,65.49961,5,0,0,0.25235,0.73901,2.00000,232.71465,0.00000,0.00000,0.32352,0
15,29.09580,642.53326,104.75315,8,0,0,0.24271,1.00000,7.00000,814.50128,11.29169,1313.87061,0.61530,0
16,28.95523,682.13415,65.95833,5,0,0,0.26244,0.74309,2.00000,232.71465,2.33075,271.20007,0.32902,0
17,29.09826,721.23861,105.21186,8,0,0,0.25120,1.00000,7.00000,814.50128,9.60713,1117.85999,0.55731,0
