strut_id,label,r_eq_med_um,measurable
0,thick,683.8,0
1,thick,819.3,0
2,thick,823.9,0
3,thick,776.8,0
4,nominal,276.6,1
5,nominal,328.2,1
6,nominal,329.9,1
7,necked,318.2,1
8,nominal,350.5,1
9,nominal,353.5,1
10,missing,0.0,1
11,nominal,389.8,1
12,nominal,399.3,1
13,nominal,426.7,1
14,nominal,289.9,1
15,nominal,339.5,1
16,thick,485.7,1
17,nominal,358.1,1
18,nominal,430.5,1
19,nominal,358.1,1
20,nominal,276.6,1
21,nominal,321.6,1
22,nominal,356.6,1
23,nominal,369.9,1
24,thick,817.3,0
25,thick,951.9,0
26,thick,957.0,0
27,thick,998.3,0
28,nominal,384.2,1
29,nominal,395.3,1
30,nominal,334.7,1
31,nominal,347.4,1
32,thick,442.8,0
33,thick,439.2,0
34,nominal,391.1,1
35,nominal,393.9,1
36,nominal,431.7,1
37,thick,509.6,0
38,nominal,272.7,1
39,nominal,368.4,1
40,thick,513.8,0
41,nominal,355.0,1
42,nominal,352.0,1
43,nominal,420.3,1
44,nominal,304.4,1
45,nominal,333.1,1
46,nominal,365.5,1
47,nominal,425.4,1
48,thick,883.2,0
49,thick,986.9,0
50,thick,1014.4,0
51,thick,1017.5,0
52,nominal,426.7,1
53,thick,440.4,0
54,nominal,334.7,1
55,nominal,350.5,1
56,thick,441.6,1
57,thick,506.4,0
58,nominal,350.5,1
59,nominal,396.6,1
60,nominal,416.5,1
61,thick,507.4,0
62,nominal,289.9,1
63,nominal,361.1,1
64,thick,558.0,0
65,nominal,359.6,1
66,nominal,393.9,1
67,thick,473.4,0
68,nominal,326.6,1
69,nominal,345.8,1
70,nominal,355.0,1
71,thick,493.4,0
72,thick,947.9,0
73,thick,996.1,0
74,thick,1017.5,0
75,thick,1017.5,0
76,thick,501.0,1
77,thick,528.2,0
78,nominal,336.3,1
79,nominal,355.0,1
80,thick,498.9,0
81,nominal,429.2,0
82,nominal,421.6,1
83,nominal,377.1,1
84,nominal,411.3,1
85,thick,603.5,0
86,nominal,300.8,1
87,nominal,364.0,1
88,thick,613.2,0
89,nominal,339.5,1
90,nominal,382.8,1
91,thick,456.0,0
92,nominal,336.3,1
93,nominal,326.6,1
94,nominal,342.7,1
95,thick,541.3,0
96,thick,984.7,0
97,thick,984.7,0
98,thick,1017.5,0
99,thick,1017.5,0
100,thick,532.3,0
101,thick,532.3,0
102,nominal,329.9,1
103,nominal,342.7,1
104,thick,525.2,1
105,thick,534.3,0
106,nominal,362.6,1
107,nominal,407.3,1
108,nominal,407.3,1
109,thick,658.1,0
110,nominal,319.9,1
111,nominal,352.0,1
112,thick,644.9,0
113,nominal,334.7,1
114,nominal,365.5,1
115,thick,491.3,0
116,nominal,336.3,1
117,nominal,302.6,1
118,nominal,316.5,1
119,thick,513.8,0
120,thick,1013.8,0
121,thick,973.7,0
122,thick,1017.5,0
123,thick,1017.5,0
124,thick,558.0,0
125,thick,529.3,0
126,nominal,339.5,1
127,nominal,329.9,1
128,thick,567.6,0
129,thick,542.3,0
130,nominal,345.8,1
131,nominal,384.2,1
132,nominal,393.9,1
133,thick,630.5,0
134,nominal,337.9,1
135,nominal,341.1,1
136,thick,675.9,0
137,nominal,307.9,1
138,nominal,385.6,1
139,thick,496.7,0
140,nominal,331.5,1
141,nominal,313.1,1
142,nominal,342.7,1
143,thick,615.8,0
144,thick,1017.5,0
145,thick,969.8,0
146,thick,1017.5,0
147,thick,1017.5,0
148,thick,558.0,0
149,thick,540.3,0
150,nominal,334.7,1
151,nominal,334.7,1
152,thick,523.1,0
153,thick,560.9,0
154,nominal,364.0,1
155,nominal,369.9,1
156,nominal,400.7,1
157,thick,589.9,0
158,nominal,321.6,1
159,nominal,328.2,1
160,thick,633.9,0
161,nominal,295.4,1
162,nominal,381.4,1
163,thick,498.9,0
164,nominal,339.5,1
165,nominal,328.2,1
166,nominal,337.9,1
167,thick,565.7,0
168,thick,1017.5,0
169,thick,920.2,0
170,thick,1017.5,0
171,thick,1017.5,0
172,thick,479.0,0
173,thick,495.6,0
174,nominal,323.3,1
175,nominal,329.9,1
176,thick,502.1,0
177,thick,475.7,0
178,broken,333.1,1
179,nominal,384.2,1
180,nominal,417.8,1
181,thick,644.0,0
182,nominal,334.7,1
183,nominal,299.0,1
184,thick,509.6,0
185,nominal,272.7,1
186,nominal,392.5,1
187,thick,439.2,0
188,nominal,331.5,1
189,nominal,319.9,1
190,nominal,329.9,1
191,thick,481.3,0
192,thick,994.5,0
193,thick,793.9,0
194,thick,933.0,0
195,thick,973.2,0
196,nominal,391.1,0
197,thick,446.5,0
198,nominal,333.1,1
199,nominal,328.2,1
200,nominal,307.9,0
201,nominal,353.5,0
202,nominal,319.9,0
203,nominal,309.7,0
204,thick,457.2,1
205,nominal,367.0,1
206,nominal,365.5,1
207,nominal,375.7,1
208,nominal,404.7,1
209,thick,489.1,0
210,nominal,328.2,1
211,nominal,274.6,1
212,thick,461.9,1
213,nominal,289.9,1
214,missing,0.0,1
215,nominal,406.0,1
216,nominal,348.9,1
217,nominal,311.4,1
218,nominal,342.7,1
219,nominal,396.6,1
220,thick,747.1,0
221,thick,961.5,0
222,thick,851.5,0
223,thick,789.1,0
224,nominal,323.3,1
225,nominal,345.8,1
226,nominal,319.9,1
227,nominal,333.1,1
228,thick,457.2,1
229,thick,486.9,0
230,nominal,426.7,1
231,nominal,424.2,1
232,nominal,430.5,1
233,thick,497.8,1
234,nominal,318.2,1
235,nominal,372.8,1
236,thick,472.3,0
237,nominal,362.6,1
238,nominal,420.3,1
239,nominal,430.5,1
240,nominal,293.6,1
241,nominal,347.4,1
242,nominal,369.9,1
243,nominal,400.7,1
244,thick,933.6,0
245,thick,1017.5,0
246,thick,1006.4,0
247,thick,1017.5,0
248,nominal,421.6,1
249,nominal,424.2,1
250,nominal,334.7,1
251,nominal,353.5,1
252,thick,490.2,0
253,thick,535.3,0
254,nominal,430.5,1
255,thick,444.0,1
256,thick,450.1,1
257,thick,488.0,0
258,nominal,291.7,1
259,nominal,368.4,1
260,thick,569.5,0
261,nominal,368.4,1
262,nominal,395.3,1
263,nominal,430.5,0
264,nominal,299.0,1
265,nominal,344.3,1
266,nominal,369.9,1
267,thick,468.8,0
268,thick,1017.5,0
269,thick,1017.5,0
270,thick,1017.5,0
271,thick,1017.5,0
272,thick,495.6,0
273,thick,483.5,0
274,nominal,333.1,1
275,nominal,361.1,1
276,thick,542.3,0
277,thick,542.3,0
278,nominal,422.9,1
279,nominal,426.7,1
280,nominal,411.3,1
281,thick,602.6,0
282,nominal,302.6,1
283,nominal,365.5,1
284,thick,607.9,0
285,nominal,348.9,1
286,nominal,410.0,1
287,thick,473.4,0
288,nominal,318.2,1
289,nominal,355.0,1
290,nominal,369.9,1
291,thick,528.2,0
292,thick,1017.5,0
293,thick,1017.5,0
294,thick,1017.5,0
295,thick,1017.5,0
296,thick,583.5,0
297,thick,525.2,0
298,nominal,336.3,1
299,nominal,368.4,1
300,thick,581.6,0
301,thick,668.7,0
302,nominal,408.7,1
303,nominal,422.9,1
304,nominal,426.7,1
305,thick,819.3,0
306,nominal,299.0,1
307,nominal,355.0,1
308,thick,796.6,0
309,nominal,342.7,1
310,nominal,389.8,1
311,thick,505.3,0
312,nominal,318.2,1
313,nominal,333.1,1
314,nominal,337.9,1
315,thick,690.9,0
316,thick,1017.5,0
317,thick,1017.5,0
318,thick,1017.5,0
319,thick,1017.5,0
320,thick,683.0,0
321,thick,771.9,0
322,nominal,342.7,1
323,nominal,356.6,1
324,thick,734.0,0
325,thick,742.0,0
326,nominal,364.0,1
327,nominal,392.5,1
328,nominal,419.1,1
329,thick,793.2,0
330,nominal,319.9,1
331,nominal,348.9,1
332,thick,776.8,0
333,nominal,328.2,1
334,nominal,389.8,1
335,thick,594.5,0
336,nominal,318.2,1
337,nominal,307.9,1
338,nominal,326.6,1
339,thick,786.4,0
340,thick,1017.5,0
341,thick,1017.5,0
342,thick,1017.5,0
343,thick,1017.5,0
344,thick,761.3,0
345,thick,789.8,0
346,nominal,334.7,1
347,nominal,341.1,1
348,thick,707.8,0
349,thick,736.9,0
350,nominal,396.6,1
351,nominal,411.3,1
352,nominal,413.9,1
353,thick,816.0,0
354,nominal,329.9,1
355,nominal,307.9,1
356,thick,806.0,0
357,nominal,300.8,1
358,nominal,420.3,1
359,thick,650.7,0
360,nominal,331.5,1
361,nominal,309.7,1
362,nominal,334.7,1
363,thick,791.2,0
364,thick,1017.5,0
365,thick,1017.5,0
366,thick,1017.5,0
367,thick,1017.5,0
368,thick,767.0,0
369,thick,767.7,0
370,nominal,347.4,1
371,nominal,345.8,1
372,thick,685.4,0
373,thick,694.7,0
374,nominal,403.3,1
375,nominal,400.7,1
376,nominal,393.9,1
377,thick,749.2,0
378,nominal,321.6,1
379,nominal,302.6,1
380,thick,768.4,0
381,nominal,278.5,1
382,nominal,412.6,1
383,thick,660.6,0
384,nominal,313.1,1
385,nominal,333.1,1
386,nominal,348.9,1
387,thick,801.3,0
388,thick,1017.5,0
389,thick,1017.5,0
390,thick,1017.5,0
391,thick,1017.5,0
392,thick,639.0,0
393,thick,671.1,0
394,nominal,345.8,1
395,nominal,345.8,1
396,thick,618.4,0
397,thick,601.7,0
398,nominal,378.5,1
399,nominal,434.2,1
400,nominal,417.8,1
401,thick,694.0,0
402,nominal,337.9,1
403,nominal,282.4,1
404,thick,516.9,0
405,nominal,278.5,1
406,nominal,398.0,1
407,thick,505.3,0
408,nominal,319.9,1
409,nominal,334.7,1
410,nominal,364.0,1
411,thick,618.4,0
412,thick,1017.5,0
413,thick,877.7,0
414,thick,973.7,0
415,thick,1013.3,0
416,thick,451.3,0
417,broken,742.3,0
418,nominal,328.2,1
419,nominal,318.2,1
420,nominal,382.8,0
421,nominal,395.3,0
422,nominal,326.6,0
423,nominal,313.1,0
424,thick,515.9,0
425,thick,489.1,1
426,nominal,399.3,1
427,nominal,398.0,1
428,nominal,436.7,1
429,thick,520.0,0
430,nominal,321.6,1
431,nominal,280.4,1
432,thick,508.5,1
433,nominal,313.1,1
434,broken,350.5,1
435,nominal,425.4,0
436,nominal,339.5,1
437,nominal,316.5,1
438,nominal,353.5,1
439,nominal,422.9,0
440,thick,773.3,0
441,thick,981.4,0
442,thick,862.8,0
443,thick,802.0,0
444,nominal,358.1,1
445,nominal,358.1,1
446,nominal,333.1,1
447,nominal,334.7,1
448,thick,516.9,1
449,thick,537.3,0
450,nominal,421.6,1
451,thick,450.1,1
452,nominal,410.0,1
453,thick,494.5,1
454,nominal,347.4,1
455,nominal,361.1,1
456,thick,534.3,0
457,nominal,371.4,1
458,nominal,362.6,1
459,nominal,415.2,1
460,nominal,299.0,1
461,nominal,339.5,1
462,nominal,374.2,1
463,nominal,424.2,1
