strut_id,junction0,junction1,node0,node1,unit_cell_edge_idx,is_boundary,embedded,z0,y0,x0,z1,y1,x1,z,y,x,iou,fill,profile_min,profile_mean,profile_std,station_iou_min,diameter_est_um,env_material_frac,radius_med_vox,radius_min_vox,radius_std_vox,excess_frac,gap_stations,gap_interior,n_nominal,n_matched,n_material_env,clipped
0,0,9,0,1,1,0,0,28.93556,52.49134,62.28862,29.07859,91.59580,101.54215,29.00707,72.04357,81.91538,0.22453,0.40172,0.20149,0.40116,0.09583,0.11203,221.83418,0.43774,0.00000,0.00000,0.49301,0.45635,0,0,1048,421,1248,0
1,1,9,19,1,2,0,1,29.21916,51.99492,140.33697,29.07859,91.59580,101.54215,29.14887,71.79536,120.93956,0.40405,0.99623,0.97297,0.99544,0.00850,0.31935,349.33963,0.91810,3.74166,3.31662,0.43203,0.67879,0,0,1061,1057,2612,0
2,2,9,21,1,3,0,1,29.22162,130.70027,140.79568,29.07859,91.59580,101.54215,29.15010,111.14804,121.16892,0.40605,0.92897,0.80147,0.93361,0.05888,0.32059,337.34116,0.81991,3.08114,2.00000,0.49122,0.69243,0,0,1070,994,2372,0
3,3,9,2,1,0,0,1,28.93802,131.19669,62.74733,29.07859,91.59580,101.54215,29.00830,111.39625,82.14474,0.42411,0.98589,0.96053,0.98661,0.01386,0.31100,347.52148,0.80168,3.16228,3.00000,0.49656,0.55745,0,0,992,978,2292,0
4,0,10,0,182,13,0,0,28.93556,52.49134,62.28862,68.14515,91.89210,62.43532,48.54035,72.19172,62.36197,0.40225,0.46816,0.35811,0.47372,0.07147,0.30114,239.47899,0.22636,1.41421,1.41421,0.15670,0.03208,0,0,1068,500,675,0
5,3,10,2,182,12,0,0,28.93802,131.19669,62.74733,68.14515,91.89210,62.43532,48.54158,111.54440,62.59133,0.54865,0.68618,0.54225,0.68959,0.05844,0.46383,289.92694,0.35742,2.44949,2.23607,0.09241,0.06186,0,0,1093,750,1024,0
6,4,10,362,182,28,0,0,107.35474,131.29286,62.58203,68.14515,91.89210,62.43532,87.74994,111.59248,62.50867,0.71618,0.83424,0.77381,0.83066,0.03285,0.54067,319.67938,0.38130,2.44949,2.44949,0.27141,0.01245,0,0,1098,916,1097,0
7,5,10,361,182,29,0,0,107.35228,52.58751,62.12331,68.14515,91.89210,62.43532,87.74871,72.23980,62.27932,0.42837,0.56362,0.26506,0.55759,0.11609,0.25581,262.76102,0.32351,1.73205,1.41421,0.26876,0.07713,0,0,1061,598,933,0
8,0,12,0,181,14,0,0,28.93556,52.49134,62.28862,68.28572,52.29121,101.23014,48.61064,52.39128,81.75938,0.61277,0.81509,0.61905,0.81765,0.10380,0.42623,315.98901,0.42433,2.82843,2.23607,0.30112,0.06042,0,0,1060,864,1214,0
9,1,12,19,181,15,0,0,29.21916,51.99492,140.33697,68.28572,52.29121,101.23014,48.75244,52.14306,120.78356,0.44510,0.66503,0.11392,0.63608,0.27938,0.09184,285.42270,0.41244,2.11803,0.00000,0.99553,0.09226,0,0,1018,677,1180,0
10,5,12,361,181,30,0,0,107.35228,52.58751,62.12331,68.28572,52.29121,101.23014,87.81900,52.43936,81.67673,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12,0,1072,0,0,0
11,6,12,380,181,31,0,0,107.63588,52.09108,140.17167,68.28572,52.29121,101.23014,87.96080,52.19115,120.70090,0.63161,0.91572,0.85714,0.91260,0.03058,0.48097,334.92636,0.50437,2.82843,2.82843,0.17777,0.08870,0,0,1056,967,1442,0
12,10,8,182,371,24,0,0,68.14515,91.89210,62.43532,107.49531,91.69197,101.37685,87.82023,91.79204,81.90608,0.60025,0.90687,0.83077,0.89982,0.03599,0.44840,333.30356,0.52363,2.82843,2.44949,0.13855,0.06678,0,0,1063,964,1507,0
13,10,9,182,1,20,0,0,68.14515,91.89210,62.43532,29.07859,91.59580,101.54215,48.61187,91.74395,81.98874,0.59315,0.99063,0.96094,0.99155,0.01502,0.41127,348.35602,0.61549,3.00000,2.82843,0.13297,0.13599,0,0,1067,1057,1772,0
14,10,13,182,183,4,0,0,68.14515,91.89210,62.43532,68.28818,130.99656,101.68886,68.21666,111.44433,82.06209,0.59158,0.67705,0.62821,0.67704,0.02883,0.41827,287.99149,0.30462,2.00000,1.73205,0.12240,0.00710,0,0,1059,717,870,0
15,10,12,182,181,5,0,0,68.14515,91.89210,62.43532,68.28572,52.29121,101.23014,68.21543,72.09166,81.83273,0.57331,0.77987,0.63415,0.78007,0.08676,0.38723,309.08554,0.42054,2.34278,2.00000,0.33163,0.05450,0,0,1063,829,1212,0
16,11,9,201,1,22,0,0,68.42875,91.39567,140.48367,29.07859,91.59580,101.54215,48.75367,91.49574,121.01291,0.50426,0.99254,0.96429,0.99188,0.01134,0.36709,348.69281,0.71565,3.46410,3.00000,0.27594,0.23056,0,0,1073,1065,2104,0
17,11,13,201,183,7,0,0,68.42875,91.39567,140.48367,68.28818,130.99656,101.68886,68.35846,111.19612,121.08626,0.61864,0.86427,0.75610,0.85279,0.06679,0.49640,325.38065,0.46605,3.00000,2.82843,0.06394,0.06190,0,0,1083,936,1366,0
18,11,8,201,371,26,0,0,68.42875,91.39567,140.48367,107.49531,91.69197,101.37685,87.96203,91.54382,120.93026,0.57924,0.93194,0.82143,0.93048,0.04006,0.44771,337.87997,0.59391,2.82843,2.82843,0.08088,0.15211,0,0,1102,1027,1698,0
19,12,9,181,1,21,0,0,68.28572,52.29121,101.23014,29.07859,91.59580,101.54215,48.68215,71.94351,101.38615,0.61104,0.85568,0.78750,0.85118,0.04305,0.45361,323.76035,0.45421,2.63896,2.44949,0.24015,0.05792,0,0,1074,919,1349,0
20,12,11,181,201,6,0,0,68.28572,52.29121,101.23014,68.42875,91.39567,140.48367,68.35723,71.84344,120.85691,0.46417,0.54729,0.47619,0.54227,0.03414,0.36866,258.92694,0.28040,2.00000,1.73205,0.07406,0.02393,0,0,1089,596,791,0
21,12,8,181,371,25,0,0,68.28572,52.29121,101.23014,107.49531,91.69197,101.37685,87.89052,71.99159,101.30349,0.49291,0.64953,0.46429,0.65215,0.10716,0.31553,282.07758,0.35665,2.44949,1.41421,0.47684,0.05575,0,0,1070,695,1035,0
22,13,8,183,371,27,0,0,68.28818,130.99656,101.68886,107.49531,91.69197,101.37685,87.89174,111.34427,101.53285,0.68728,0.90616,0.87500,0.90696,0.02354,0.46400,333.17374,0.44096,3.00000,2.44949,0.23481,0.03690,0,0,1055,956,1292,0
23,13,9,183,1,23,0,0,68.28818,130.99656,101.68886,29.07859,91.59580,101.54215,48.68338,111.29618,101.61550,0.62425,0.88202,0.81707,0.88041,0.02831,0.42373,328.70618,0.46254,2.72474,2.44949,0.27526,0.06012,0,0,1068,942,1383,0
24,14,23,19,20,1,0,0,29.21916,51.99492,140.33697,29.36219,91.09938,179.59050,29.29067,71.54715,159.96374,0.39992,0.89064,0.75969,0.89193,0.05681,0.29878,330.30795,0.78875,3.00000,2.00000,0.48274,0.65399,0,0,1079,961,2285,0
25,15,23,35,20,2,0,1,29.50276,51.49849,218.38532,29.36219,91.09938,179.59050,29.43247,71.29893,198.98791,0.37333,1.00000,1.00000,1.00000,0.00000,0.32051,350.00000,0.99522,5.70071,5.09902,0.75604,0.94156,0,0,1089,1089,2917,0
26,16,23,36,20,3,0,1,29.50522,130.20384,218.84404,29.36219,91.09938,179.59050,29.43370,110.65161,199.21727,0.36606,1.00000,1.00000,1.00000,0.00000,0.31136,350.00000,0.99463,6.16441,4.47214,0.78099,0.96816,0,0,1085,1085,2964,0
27,17,23,21,20,0,0,1,29.22162,130.70027,140.79568,29.36219,91.09938,179.59050,29.29190,110.89982,160.19309,0.36902,1.00000,1.00000,1.00000,0.00000,0.31579,350.00000,1.00000,7.44915,7.14143,0.28053,1.00000,0,0,1065,1065,2886,0
28,14,24,19,201,13,0,0,29.21916,51.99492,140.33697,68.42875,91.39567,140.48367,48.82395,71.69530,140.41032,0.60063,0.86509,0.80952,0.86431,0.03023,0.38628,325.53513,0.49774,3.00000,2.44949,0.15727,0.08511,0,0,1097,949,1432,0
29,17,24,21,201,12,0,0,29.22162,130.70027,140.79568,68.42875,91.39567,140.48367,48.82518,111.04797,140.63968,0.55668,0.91513,0.82927,0.90983,0.04767,0.37669,334.81836,0.58599,3.00000,2.82843,0.04742,0.10718,0,0,1084,992,1690,0
30,18,24,382,201,28,0,0,107.63834,130.79643,140.63038,68.42875,91.39567,140.48367,88.03355,111.09605,140.55703,0.62375,0.78700,0.68182,0.78092,0.04774,0.50000,310.49628,0.40488,2.63896,2.23607,0.26347,0.03984,0,0,1108,872,1162,0
31,19,24,380,201,29,0,0,107.63588,52.09108,140.17167,68.42875,91.39567,140.48367,88.03232,71.74338,140.32767,0.64619,0.85754,0.71642,0.84946,0.07835,0.43911,324.11295,0.43496,2.82843,2.44949,0.23901,0.04046,0,0,1067,915,1264,0
32,14,26,19,200,14,0,0,29.21916,51.99492,140.33697,68.56932,51.79479,179.27849,48.89424,51.89485,159.80773,0.54789,0.89395,0.81707,0.89242,0.03904,0.40566,330.92191,0.57564,2.82843,2.44949,0.19007,0.22324,0,0,1075,961,1640,0
33,15,26,35,200,15,0,0,29.50276,51.49849,218.38532,68.56932,51.79479,179.27849,49.03604,51.64664,198.83191,0.56994,0.91349,0.82143,0.91144,0.03853,0.45085,334.51804,0.56715,3.00000,2.82843,0.09323,0.16838,0,0,1075,982,1630,0
34,19,26,380,200,30,0,0,107.63588,52.09108,140.17167,68.56932,51.79479,179.27849,88.10260,51.94293,159.72508,0.55787,0.84483,0.75641,0.83801,0.05832,0.44186,321.70078,0.49930,2.82843,2.44949,0.20790,0.12196,0,0,1044,882,1419,0
35,20,26,399,200,31,0,0,107.91948,51.59466,218.22002,68.56932,51.79479,179.27849,88.24440,51.69472,198.74926,0.57905,0.84444,0.73171,0.83431,0.06401,0.48864,321.62781,0.48135,2.82843,2.44949,0.19435,0.09583,0,0,1080,912,1407,0
36,24,22,201,381,24,0,0,68.42875,91.39567,140.48367,107.77891,91.19555,179.42520,88.10383,91.29561,159.95444,0.57617,0.95705,0.92683,0.95689,0.01730,0.43548,342.40118,0.60299,3.16228,2.82843,0.15836,0.13410,0,0,1071,1025,1733,0
