node_id,z,y,x,degree,incident_usable,incident_bad,arriving,arriving_frac,sphere_fill,missing_candidate,diameter_fill_um,size_ratio_to_height
0,29.113,367.740,64.101,5,4,0,4,1.0000,0.5989,0,0.0,0.0000
1,29.085,446.442,64.604,5,4,0,4,1.0000,0.6267,0,0.0,0.0000
2,29.057,525.144,65.108,5,4,0,4,1.0000,0.7213,0,0.0,0.0000
3,29.029,603.846,65.611,5,5,0,5,1.0000,0.7507,0,0.0,0.0000
4,29.001,682.547,66.115,5,5,0,5,1.0000,0.7722,0,324.7,0.3195
5,28.973,761.249,66.618,3,2,0,2,1.0000,0.0000,0,0.0,0.0000
6,29.224,52.933,62.087,3,3,0,3,1.0000,0.1157,0,0.0,0.0000
7,29.370,92.020,101.330,8,7,0,7,1.0000,1.0000,0,1196.1,1.1769
8,29.196,131.634,62.590,5,5,0,5,1.0000,0.6017,0,0.0,0.0000
9,29.342,170.722,101.834,8,5,0,5,1.0000,1.0000,0,1396.9,1.3744
10,29.168,210.336,63.094,5,4,0,4,1.0000,0.6094,0,0.0,0.0000
11,29.314,249.424,102.337,8,4,0,4,1.0000,1.0000,0,1396.9,1.3744
12,29.140,289.038,63.597,5,4,0,4,1.0000,0.6105,0,0.0,0.0000
13,29.286,328.125,102.840,8,5,0,5,1.0000,1.0000,0,1396.9,1.3744
14,29.258,406.827,103.344,8,5,0,5,1.0000,1.0000,0,1396.9,1.3744
15,29.230,485.529,103.847,8,5,0,5,1.0000,1.0000,0,1396.9,1.3744
16,29.202,564.231,104.351,8,6,0,6,1.0000,1.0000,0,1396.9,1.3744
17,29.348,603.318,143.594,8,4,0,4,1.0000,1.0000,0,1396.9,1.3744
18,29.174,642.933,104.854,8,6,0,6,1.0000,1.0000,0,1311.0,1.2899
19,29.320,682.020,144.098,8,6,0,6,1.0000,1.0000,0,1324.8,1.3035
20,29.146,721.635,105.358,8,8,0,8,1.0000,1.0000,0,1123.4,1.1053
21,29.292,760.722,144.601,5,3,0,3,1.0000,0.0000,0,0.0,0.0000
22,29.543,52.405,140.070,5,4,0,4,1.0000,0.9254,0,548.4,0.5396
23,29.515,131.107,140.573,8,5,0,5,1.0000,1.0000,0,1396.9,1.3744
24,29.487,209.809,141.077,8,2,0,2,1.0000,1.0000,0,1396.9,1.3744
25,29.459,288.511,141.580,8,2,0,2,1.0000,1.0000,0,1396.9,1.3744
26,29.605,327.598,180.823,8,1,0,1,1.0000,1.0000,0,1396.9,1.3744
27,29.431,367.213,142.084,8,3,0,3,1.0000,1.0000,0,1396.9,1.3744
28,29.577,406.300,181.327,8,2,0,2,1.0000,1.0000,0,1396.9,1.3744
