node_id,z,y,x,degree,is_interior,embedded,iou,fill,inscribed_radius_vox,diameter_um,radius_fill_vox,diameter_fill_um,box_material_frac,saturated
0,29.11254,367.74003,64.10071,5,0,0,0.22154,0.59890,1.41421,164.62550,0.00000,0.00000,0.32858,0
1,29.08463,446.44188,64.60418,5,0,0,0.22189,0.62674,1.00000,116.40781,0.00000,0.00000,0.34784,0
2,29.05672,525.14373,65.10765,5,0,0,0.25557,0.72131,2.00000,232.81563,0.00000,0.00000,0.33786,0
3,29.02880,603.84558,65.61112,5,0,0,0.25566,0.75069,2.00000,232.81563,0.00000,0.00000,0.34342,0
4,29.00089,682.54744,66.11459,5,0,0,0.26628,0.77222,3.00000,349.22345,2.78952,324.72150,0.32813,0
5,28.97298,761.24929,66.61806,3,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04166,0
6,29.22420,52.93262,62.08682,3,0,0,0.08235,0.11570,0.00000,0.00000,0.00000,0.00000,0.09920,0
7,29.36969,92.01981,101.33004,8,0,0,0.24540,1.00000,7.00000,814.85468,10.27540,1196.13635,0.61293,0
8,29.19629,131.63448,62.59029,5,0,0,0.22187,0.60169,1.41421,164.62550,0.00000,0.00000,0.31923,0
9,29.34177,170.72166,101.83351,8,0,0,0.24541,1.00000,8.00000,931.26251,12.00000,1396.89380,0.66464,0
10,29.16837,210.33633,63.09376,5,0,0,0.22610,0.60942,1.41421,164.62550,0.00000,0.00000,0.32794,0
11,29.31386,249.42352,102.33698,8,0,0,0.24288,1.00000,8.06226,938.50983,12.00000,1396.89380,0.67059,0
12,29.14046,289.03818,63.59724,5,0,0,0.22233,0.61050,1.00000,116.40781,0.00000,0.00000,0.34118,0
13,29.28595,328.12537,102.84045,8,0,0,0.24526,1.00000,8.00000,931.26251,12.00000,1396.89380,0.67270,0
14,29.25803,406.82722,103.34392,8,0,0,0.24508,1.00000,8.00000,931.26251,12.00000,1396.89380,0.66726,0
15,29.23012,485.52907,103.84740,8,0,0,0.23954,1.00000,8.30662,966.95587,12.00000,1396.89380,0.66618,0
16,29.20221,564.23092,104.35087,8,0,0,0.24070,1.00000,8.00000,931.26251,12.00000,1396.89380,0.64301,0
17,29.34770,603.31811,143.59409,8,0,0,0.24203,1.00000,8.00000,931.26251,12.00000,1396.89380,0.66810,0
18,29.17429,642.93277,104.85434,8,0,0,0.25293,1.00000,7.00000,814.85468,11.26205,1310.99011,0.61645,0
19,29.31978,682.01996,144.09756,8,0,0,0.24473,1.00000,8.00000,931.26251,11.38061,1324.79199,0.62291,0
20,29.14638,721.63462,105.35781,8,0,0,0.24185,1.00000,7.00000,814.85468,9.65020,1123.35840,0.55770,0
21,29.29187,760.72181,144.60103,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11200,0
22,29.54309,52.40515,140.06978,5,0,0,0.29080,0.92541,4.00000,465.63126,4.71111,548.41058,0.37069,0
23,29.51518,131.10700,140.57326,8,0,0,0.24423,1.00000,8.06226,938.50983,12.00000,1396.89380,0.67405,0
24,29.48726,209.80885,141.07673,8,0,0,0.24238,1.00000,9.05539,1054.11768,12.00000,1396.89380,0.72058,0
25,29.45935,288.51070,141.58020,8,0,0,0.24271,1.00000,9.43398,1098.18909,12.00000,1396.89380,0.72320,0
26,29.60484,327.59789,180.82342,8,0,0,0.23948,1.00000,10.48809,1220.89551,12.00000,1396.89380,0.74528,0
27,29.43144,367.21256,142.08367,8,0,0,0.24425,1.00000,9.05539,1054.11768,12.00000,1396.89380,0.72416,0
28,29.57693,406.29974,181.32689,8,0,0,0.24339,1.00000,10.24695,1192.82520,12.00000,1396.89380,0.73645,0
29,29.40352,445.91441,142.58714,8,0,0,0.24286,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.71846,0
30,29.54901,485.00160,181.83036,8,0,0,0.24506,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.72128,0
31,29.37561,524.61626,143.09061,8,0,0,0.24337,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.69843,0
32,29.52110,563.70345,182.33383,8,0,0,0.24022,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.68934,0
33,29.49319,642.40530,182.83730,8,0,0,0.23986,1.00000,8.00000,931.26251,12.00000,1396.89380,0.66701,0
34,29.46527,721.10715,183.34078,8,0,0,0.24322,1.00000,7.87401,916.59601,10.37530,1207.76550,0.59360,0
35,29.61076,760.19434,222.58399,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12602,0
36,29.86199,51.87767,218.05275,5,0,0,0.29083,0.95355,4.00000,465.63126,5.37564,625.76630,0.44147,0
37,29.68858,91.49234,179.31300,8,0,0,0.24206,1.00000,8.00000,931.26251,12.00000,1396.89380,0.67610,0
38,29.83407,130.57953,218.55622,8,0,0,0.24084,1.00000,9.94987,1158.24304,12.00000,1396.89380,0.74848,0
39,29.66067,170.19419,179.81647,8,0,0,0.24372,1.00000,9.27362,1079.52173,12.00000,1396.89380,0.73344,0
40,29.80616,209.28138,219.05969,8,0,0,0.24626,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.76659,1
41,29.63275,248.89604,180.31995,8,0,0,0.24220,1.00000,10.63015,1237.43201,12.00000,1396.89380,0.74554,0
42,29.77824,287.98323,219.56316,8,0,0,0.24339,1.00000,11.22497,1306.67444,12.00000,1396.89380,0.77082,1
43,29.75033,366.68508,220.06663,8,0,0,0.24440,1.00000,11.57584,1347.51794,12.00000,1396.89380,0.77158,1
44,29.72242,445.38693,220.57011,8,0,0,0.23900,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.75866,1
45,29.86791,484.47412,259.81332,8,0,0,0.24372,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.75898,1
46,29.69450,524.08878,221.07358,8,0,0,0.24558,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.72403,0
47,29.83999,563.17597,260.31680,8,0,0,0.24558,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.72000,0
48,29.66659,602.79064,221.57705,8,0,0,0.24187,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.67942,0
49,29.81208,641.87782,260.82027,8,0,0,0.25085,1.00000,9.05539,1054.11768,12.00000,1396.89380,0.66880,0
50,29.63868,681.49249,222.08052,8,0,0,0.24508,1.00000,8.06226,938.50983,11.88298,1383.27197,0.62323,0
51,29.78417,720.57968,261.32374,8,0,0,0.23968,1.00000,8.00000,931.26251,11.13439,1296.13025,0.60090,0
52,30.00748,90.96486,257.29597,8,0,0,0.24725,1.00000,9.05539,1054.11768,12.00000,1396.89380,0.73120,0
53,29.97956,169.66671,257.79944,8,0,0,0.24609,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77645,1
54,29.95165,248.36857,258.30291,8,0,0,0.24255,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77862,1
55,30.09714,287.45575,297.54613,8,0,0,0.24526,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
56,29.92373,327.07042,258.80638,8,0,0,0.24794,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77862,1
57,30.06922,366.15761,298.04960,8,0,0,0.25086,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
58,29.89582,405.77227,259.30985,8,0,0,0.24526,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77811,1
59,30.04131,444.85946,298.55307,8,0,0,0.24643,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77741,1
60,30.01340,523.56131,299.05654,8,0,0,0.24438,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.74950,0
61,29.98548,602.26316,299.56001,8,0,0,0.24240,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.70330,0
62,29.95757,680.96501,300.06349,8,0,0,0.25086,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.64186,0
63,30.10306,720.05220,339.30670,8,0,0,0.24796,1.00000,8.00000,931.26251,10.87090,1265.45740,0.60282,0
64,29.92966,759.66686,300.56696,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12915,0
65,30.18088,51.35020,296.03571,5,0,0,0.26974,0.95568,4.00000,465.63126,5.75663,670.11682,0.47859,0
66,30.32637,90.43739,335.27893,8,0,0,0.24119,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.75987,0
67,30.15296,130.05205,296.53918,8,0,0,0.24540,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77542,1
68,30.29845,169.13924,335.78240,8,0,0,0.24745,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
69,30.12505,208.75390,297.04266,8,0,0,0.24863,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77862,1
70,30.27054,247.84109,336.28587,8,0,0,0.24863,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
71,30.24263,326.54294,336.78935,8,0,0,0.23903,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
72,30.21471,405.24479,337.29282,8,0,0,0.24643,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
73,30.36020,444.33198,376.53603,8,0,0,0.24070,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
74,30.18680,483.94665,337.79629,8,0,0,0.25155,1.00000,11.09054,1291.02502,12.00000,1396.89380,0.77274,1
75,30.33229,523.03383,377.03951,8,0,0,0.24590,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.75917,1
76,30.15889,562.64850,338.29976,8,0,0,0.24457,1.00000,9.27362,1079.52173,12.00000,1396.89380,0.73907,0
77,30.30438,601.73569,377.54298,8,0,0,0.24070,1.00000,9.11043,1060.52563,12.00000,1396.89380,0.71744,0
78,30.13097,641.35035,338.80323,8,0,0,0.24458,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.68794,0
79,30.27646,680.43754,378.04645,8,0,0,0.24122,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.65690,0
80,30.24855,759.13939,378.54992,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14438,0
81,30.49977,50.82272,374.01868,5,0,0,0.26017,1.00000,5.09902,593.56573,8.17164,951.24249,0.54579,0
82,30.47186,129.52458,374.52215,8,0,0,0.24457,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77818,1
83,30.61735,168.61176,413.76537,8,0,0,0.24070,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
84,30.44394,208.22643,375.02562,8,0,0,0.24390,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
85,30.58943,247.31362,414.26884,8,0,0,0.24220,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
86,30.41603,286.92828,375.52909,8,0,0,0.24610,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
87,30.56152,326.01547,414.77231,8,0,0,0.24339,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
88,30.38812,365.63013,376.03256,8,0,0,0.24306,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
89,30.53361,404.71732,415.27578,8,0,0,0.24222,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
90,30.50569,483.41917,415.77925,8,0,0,0.23916,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.76634,1
91,30.47778,562.12102,416.28272,8,0,0,0.24206,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.74682,0
92,30.62327,601.20821,455.52594,8,0,0,0.24003,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.70771,0
93,30.44987,640.82287,416.78620,8,0,0,0.24171,1.00000,9.00000,1047.67029,12.00000,1396.89380,0.69824,0
94,30.59536,679.91006,456.02941,8,0,0,0.24541,1.00000,8.12404,945.70160,12.00000,1396.89380,0.63693,0
95,30.42195,719.52473,417.28967,8,0,0,0.23948,1.00000,8.00000,931.26251,10.98740,1279.01868,0.61837,0
96,30.56744,758.61191,456.53289,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13197,0
97,30.81867,50.29525,452.00164,5,0,0,0.27484,0.97790,4.12311,479.96170,6.24785,727.29846,0.50387,0
98,30.64526,89.90991,413.26189,8,0,0,0.24201,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.76262,1
99,30.79075,128.99710,452.50511,8,0,0,0.24206,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77786,1
100,30.76284,207.69895,453.00858,8,0,0,0.24490,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
101,30.73492,286.40080,453.51206,8,0,0,0.23932,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
102,30.70701,365.10266,454.01553,8,0,0,0.24694,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
103,30.85250,404.18984,493.25875,8,0,0,0.24745,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
104,30.67910,443.80451,454.51900,8,0,0,0.23951,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
105,30.82459,482.89170,493.76222,8,0,0,0.24915,1.00000,11.22497,1306.67444,12.00000,1396.89380,0.77542,1
106,30.65118,522.50636,455.02247,8,0,0,0.24407,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.74829,1
107,30.79667,561.59355,494.26569,8,0,0,0.23970,1.00000,11.00000,1280.48596,12.00000,1396.89380,0.74157,1
108,30.76876,640.29540,494.76916,8,0,0,0.24490,1.00000,10.00000,1164.07812,12.00000,1396.89380,0.69325,0
109,30.74085,718.99725,495.27263,8,0,0,0.24389,1.00000,7.54983,878.85968,10.70930,1246.64648,0.59430,0
110,30.96415,89.38244,491.24486,8,0,0,0.24306,1.00000,11.18034,1301.47888,12.00000,1396.89380,0.76787,1
111,31.10964,128.46963,530.48808,8,0,0,0.24257,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77811,1
112,30.93624,168.08429,491.74833,8,0,0,0.24914,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
113,31.08173,207.17148,530.99155,8,0,0,0.25000,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
114,30.90833,246.78614,492.25180,8,0,0,0.24813,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
115,31.05382,285.87333,531.49502,8,0,0,0.24506,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
116,30.88041,325.48799,492.75527,8,0,0,0.24054,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
117,31.02590,364.57518,531.99849,8,0,0,0.24317,1.00000,12.00000,1396.89380,12.00000,1396.89380,0.77869,1
