strut_id,label,r_eq_med_um,measurable
0,thick,681.7,0
1,thick,820.3,0
2,thick,824.2,0
3,thick,757.4,0
4,nominal,284.4,1
5,nominal,333.3,1
6,nominal,333.3,1
7,nominal,318.4,1
8,nominal,356.7,1
9,nominal,349.1,1
10,missing,0.0,1
11,nominal,392.7,1
12,nominal,387.2,1
13,nominal,429.4,1
14,nominal,286.3,1
15,nominal,353.7,1
16,thick,493.7,1
17,nominal,364.2,1
18,nominal,435.6,1
19,nominal,359.7,1
20,nominal,272.8,1
21,nominal,323.4,1
22,nominal,356.7,1
23,nominal,371.5,1
24,thick,802.4,0
25,thick,944.9,0
26,thick,947.8,0
27,thick,991.7,0
28,nominal,383.0,1
29,nominal,389.9,1
30,nominal,339.7,1
31,nominal,352.1,1
32,thick,445.4,1
33,thick,439.3,1
34,nominal,391.3,1
35,nominal,394.1,1
36,nominal,431.9,1
37,thick,519.2,0
38,nominal,276.7,1
39,nominal,378.7,1
40,thick,512.9,0
41,nominal,358.2,1
42,nominal,362.7,1
43,nominal,419.2,1
44,nominal,306.3,1
45,nominal,339.7,1
46,nominal,364.2,1
47,nominal,423.1,1
48,thick,878.1,0
49,thick,978.6,0
50,thick,1011.6,0
51,thick,1018.0,0
52,nominal,423.1,1
53,thick,440.6,1
54,nominal,344.4,1
55,nominal,352.1,1
56,thick,451.4,1
57,thick,498.0,0
58,nominal,346.0,1
59,nominal,398.1,1
60,nominal,419.2,1
61,thick,508.7,0
62,nominal,288.2,1
63,nominal,365.7,1
64,thick,563.1,0
65,nominal,362.7,1
66,nominal,396.8,1
67,thick,478.1,1
68,nominal,328.4,1
69,nominal,344.4,1
70,nominal,353.7,1
71,thick,483.7,0
72,thick,941.5,0
73,thick,991.7,0
74,thick,1018.0,0
75,thick,1018.0,0
76,thick,504.5,1
77,thick,507.7,0
78,nominal,341.3,1
79,nominal,353.7,1
80,thick,492.6,1
81,nominal,421.8,0
82,nominal,418.0,1
83,nominal,380.1,1
84,nominal,411.5,1
85,thick,597.4,0
86,nominal,297.4,1
87,nominal,367.1,1
88,thick,617.8,0
89,nominal,347.5,1
90,nominal,374.4,1
91,thick,453.8,1
92,nominal,338.1,1
93,nominal,326.7,1
94,nominal,342.8,1
95,thick,527.5,0
96,thick,971.9,0
97,thick,981.3,0
98,thick,1018.0,0
99,thick,1018.0,0
100,thick,534.6,0
101,thick,534.6,0
102,nominal,326.7,1
103,nominal,346.0,1
104,thick,536.6,0
105,thick,542.6,1
106,nominal,356.7,1
107,nominal,400.8,1
108,nominal,410.1,1
109,thick,659.2,0
110,nominal,325.1,1
111,nominal,355.2,1
112,thick,637.6,0
113,nominal,344.4,1
114,nominal,367.1,1
115,thick,494.8,1
116,nominal,342.8,1
117,nominal,308.0,1
118,nominal,321.7,1
119,thick,517.1,0
120,thick,1013.2,0
121,thick,966.4,0
122,thick,1018.0,0
123,thick,1018.0,0
124,thick,545.5,0
125,thick,540.6,0
126,nominal,338.1,1
127,nominal,334.9,1
128,thick,576.3,0
129,thick,535.6,0
130,nominal,349.1,1
131,nominal,380.1,1
132,nominal,398.1,1
133,thick,625.6,0
134,nominal,338.1,1
135,nominal,333.3,1
136,thick,689.6,0
137,nominal,309.8,1
138,nominal,388.5,1
139,thick,502.3,0
140,nominal,338.1,1
141,nominal,313.3,1
142,nominal,347.5,1
143,thick,610.8,0
144,thick,1017.4,0
145,thick,947.2,0
146,thick,1018.0,0
147,thick,1018.0,0
148,thick,547.5,0
149,thick,542.6,0
150,nominal,334.9,1
151,nominal,338.1,1
152,thick,517.1,0
153,thick,556.3,1
154,nominal,367.1,1
155,nominal,368.6,1
156,nominal,396.8,1
157,thick,568.8,0
158,nominal,325.1,1
159,nominal,331.6,1
160,thick,633.4,0
161,nominal,295.5,1
162,nominal,384.4,1
163,thick,500.2,0
164,nominal,330.0,1
165,nominal,325.1,1
166,nominal,339.7,1
167,thick,551.4,0
168,thick,1018.0,0
169,thick,900.5,0
170,thick,1018.0,0
171,thick,1016.9,0
172,thick,472.5,0
173,thick,501.3,0
174,nominal,321.7,1
175,nominal,336.5,1
176,thick,498.0,0
177,thick,475.9,0
178,broken,328.4,1
179,nominal,385.8,1
180,nominal,416.7,1
181,thick,638.4,0
182,nominal,330.0,1
183,nominal,299.2,1
184,thick,519.2,0
185,nominal,272.8,1
186,nominal,396.8,1
187,thick,443.0,0
