strut_id,junction0,junction1,node0,node1,unit_cell_edge_idx,is_boundary,embedded,z0,y0,x0,z1,y1,x1,z,y,x,iou,fill,profile_min,profile_mean,profile_std,station_iou_min,diameter_est_um,env_material_frac,radius_med_vox,radius_min_vox,radius_std_vox,excess_frac,gap_stations,gap_interior,n_nominal,n_matched,n_material_env,clipped
0,0,9,6,7,1,0,0,29.22420,52.93262,62.08682,29.36969,92.01981,101.33004,29.29694,72.47622,81.70843,0.19401,0.34181,0.14179,0.34151,0.09781,0.08190,204.62520,0.40344,0.00000,0.00000,0.43301,0.44792,0,0,1062,363,1172,0
1,1,9,22,7,2,0,1,29.54309,52.40515,140.06978,29.36969,92.01981,101.33004,29.45639,72.21248,120.69991,0.42609,0.99357,0.96341,0.99298,0.01154,0.32080,348.87225,0.87452,3.87083,3.31662,0.48797,0.65316,0,0,1088,1081,2530,0
2,2,9,23,7,3,0,0,29.51518,131.10700,140.57326,29.36969,92.01981,101.33004,29.44243,111.56341,120.95165,0.40240,0.91259,0.73228,0.91721,0.07209,0.29338,334.35425,0.77878,3.08114,2.00000,0.45529,0.66304,0,0,1064,971,2320,0
3,3,9,8,7,0,0,0,29.19629,131.63448,62.59029,29.36969,92.01981,101.33004,29.28299,111.82714,81.96017,0.43658,0.94278,0.88750,0.93880,0.04153,0.31973,339.83844,0.76720,3.00000,3.00000,0.46604,0.53912,0,0,1066,1005,2241,0
4,0,10,6,193,13,0,0,29.22420,52.93262,62.08682,68.39358,92.34375,62.26220,48.80889,72.63819,62.17451,0.42938,0.49164,0.35366,0.49586,0.06902,0.35196,245.40858,0.24069,1.73205,1.73205,0.19430,0.02991,0,0,1076,529,685,0
5,3,10,8,193,12,0,0,29.19629,131.63448,62.59029,68.39358,92.34375,62.26220,48.79493,111.98911,62.42625,0.50183,0.64962,0.50345,0.65572,0.05279,0.41202,282.09677,0.34297,2.44949,2.23607,0.07954,0.07838,0,0,1056,686,997,0
6,4,10,364,193,28,0,0,107.56297,131.75487,62.43758,68.39358,92.34375,62.26220,87.97828,112.04931,62.34989,0.70350,0.83937,0.76829,0.83579,0.03327,0.54018,320.65970,0.38908,2.63896,2.44949,0.25320,0.01884,0,0,1077,904,1112,0
7,5,10,363,193,29,0,0,107.59088,53.05302,61.93411,68.39358,92.34375,62.26220,87.99223,72.69838,62.09815,0.40230,0.54956,0.26250,0.53923,0.11579,0.24706,259.46271,0.32992,1.41421,1.00000,0.31323,0.09023,0,0,1019,560,933,0
8,0,12,6,192,14,0,0,29.22420,52.93262,62.08682,68.56699,52.72908,101.00195,48.89559,52.83085,81.54438,0.62042,0.84226,0.67089,0.84556,0.09602,0.47514,321.21082,0.44144,2.82843,2.23607,0.31262,0.06294,0,0,1046,881,1255,0
9,1,12,22,192,15,0,0,29.54309,52.40515,140.06978,68.56699,52.72908,101.00195,49.05504,52.56712,120.53587,0.41462,0.62908,0.10976,0.60350,0.28351,0.08911,277.60040,0.41442,2.11803,0.00000,0.99613,0.10283,0,0,1073,675,1230,0
10,5,12,363,192,30,0,0,107.59088,53.05302,61.93411,68.56699,52.72908,101.00195,88.07893,52.89105,81.46803,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12,0,1010,0,0,0
11,6,12,390,192,31,0,0,107.90977,52.52554,139.91707,68.56699,52.72908,101.00195,88.23838,52.62731,120.45951,0.63654,0.94377,0.88095,0.94401,0.03143,0.46580,340.01697,0.52410,2.82843,2.82843,0.17777,0.08147,0,0,1067,1007,1522,0
12,10,8,193,376,24,0,0,68.39358,92.34375,62.26220,107.73637,92.14021,101.17733,88.06498,92.24198,81.71976,0.58088,0.89098,0.82927,0.88675,0.02852,0.41522,330.37061,0.52639,2.82843,2.44949,0.13855,0.06948,0,0,1064,948,1516,0
