node_id,z,y,x,degree,incident_usable,incident_bad,arriving,arriving_frac,sphere_fill,missing_candidate,diameter_fill_um,size_ratio_to_height
0,28.864,603.872,65.629,5,4,0,4,1.0000,0.7542,0,0.0,0.0000
1,28.835,682.582,66.157,5,5,0,5,1.0000,0.7703,0,318.7,0.3132
2,28.805,761.293,66.685,3,2,0,2,1.0000,0.0000,0,0.0,0.0000
3,29.073,52.901,61.930,3,3,0,3,1.0000,0.0986,0,0.0,0.0000
4,29.043,131.611,62.459,5,5,0,5,1.0000,0.5912,0,0.0,0.0000
5,29.013,210.321,62.987,5,4,0,4,1.0000,0.5882,0,0.0,0.0000
6,28.983,289.031,63.515,5,4,0,4,1.0000,0.6050,0,0.0,0.0000
7,28.954,367.742,64.044,5,4,0,4,1.0000,0.5797,0,0.0,0.0000
8,29.106,406.838,103.306,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
9,28.924,446.452,64.572,5,4,0,4,1.0000,0.6198,0,0.0,0.0000
10,29.076,485.548,103.834,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
11,28.894,525.162,65.100,5,4,0,4,1.0000,0.7186,0,0.0,0.0000
12,29.046,564.258,104.363,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
13,29.017,642.968,104.891,8,6,0,6,1.0000,1.0000,0,1323.4,1.3006
14,28.987,721.678,105.419,8,8,0,8,1.0000,1.0000,0,1130.0,1.1105
15,29.225,91.997,101.193,8,7,0,7,1.0000,1.0000,0,1206.5,1.1858
16,29.195,170.707,101.721,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
17,29.347,209.803,140.983,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
18,29.165,249.417,102.249,8,4,0,4,1.0000,1.0000,0,1396.7,1.3727
19,29.317,288.513,141.511,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
20,29.135,328.127,102.778,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
21,29.287,367.223,142.040,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
22,29.258,445.934,142.568,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
23,29.228,524.644,143.096,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
24,29.198,603.354,143.625,8,4,0,4,1.0000,1.0000,0,1396.7,1.3727
25,29.350,642.450,182.887,8,4,0,4,1.0000,1.0000,0,1396.7,1.3727
26,29.169,682.064,144.153,8,5,0,5,1.0000,1.0000,0,1337.1,1.3141
27,29.321,721.160,183.415,8,7,0,7,1.0000,1.0000,0,1218.0,1.1970
28,29.139,760.774,144.681,5,3,0,3,1.0000,0.0000,0,0.0,0.0000
29,29.406,52.382,139.926,5,4,0,4,1.0000,0.9222,0,543.1,0.5337
30,29.558,91.478,179.189,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
31,29.377,131.093,140.455,8,5,0,5,1.0000,1.0000,0,1396.7,1.3727
32,29.529,170.189,179.717,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
33,29.499,248.899,180.245,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
34,29.469,327.609,180.774,8,1,0,1,1.0000,1.0000,0,1396.7,1.3727
35,29.621,366.705,220.036,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
36,29.439,406.319,181.302,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
37,29.592,445.415,220.564,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
38,29.410,485.030,181.830,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
39,29.562,524.126,221.092,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
40,29.380,563.740,182.359,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
41,29.532,602.836,221.621,8,4,0,4,1.0000,1.0000,0,1396.7,1.3727
42,29.502,681.546,222.149,8,5,0,5,1.0000,1.0000,0,1386.2,1.3623
43,29.473,760.256,222.677,5,3,0,3,1.0000,0.0000,0,0.0,0.0000
44,29.740,51.864,217.922,5,3,0,3,1.0000,0.9479,0,617.5,0.6069
45,29.710,130.575,218.451,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
46,29.862,169.671,257.713,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
47,29.681,209.285,218.979,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
48,29.833,248.381,258.241,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
49,29.651,287.995,219.507,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
50,29.803,327.091,258.770,8,0,0,0,-1.0000,1.0000,0,1396.7,1.3727
51,29.773,405.801,259.298,8,1,0,1,1.0000,1.0000,0,1396.7,1.3727
52,29.744,484.511,259.826,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
53,29.714,563.222,260.355,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
54,29.866,602.318,299.617,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
55,29.684,641.932,260.883,8,4,0,4,1.0000,1.0000,0,1396.7,1.3727
56,29.836,681.028,300.145,8,4,0,4,1.0000,1.0000,0,1396.7,1.3727
57,29.654,720.642,261.411,8,6,0,6,1.0000,1.0000,0,1304.6,1.2822
58,29.806,759.738,300.673,5,3,0,3,1.0000,0.0000,0,0.0,0.0000
59,30.074,51.346,295.918,5,3,0,3,1.0000,0.9587,0,669.3,0.6577
60,29.892,90.960,257.185,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
61,30.044,130.056,296.447,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
62,30.014,208.767,296.975,8,1,0,1,1.0000,1.0000,0,1396.7,1.3727
63,29.985,287.477,297.503,8,0,0,0,-1.0000,1.0000,0,1396.7,1.3727
64,29.955,366.187,298.032,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
65,30.107,405.283,337.294,8,1,0,1,1.0000,1.0000,0,1396.7,1.3727
66,29.925,444.897,298.560,8,3,0,3,1.0000,1.0000,0,1396.7,1.3727
67,30.077,483.993,337.822,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
68,29.896,523.607,299.088,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
69,30.048,562.703,338.351,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
70,30.018,641.414,338.879,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
71,29.988,720.124,339.407,8,6,0,6,1.0000,1.0000,0,1273.1,1.2513
72,30.226,90.442,335.181,8,2,0,2,1.0000,1.0000,0,1396.7,1.3727
73,30.196,169.152,335.709,8,1,0,1,1.0000,1.0000,0,1396.7,1.3727
74,30.348,208.248,374.971,8,0,0,0,-1.0000,1.0000,0,1396.7,1.3727
75,30.167,247.863,336.237,8,0,0,0,-1.0000,1.0000,0,1396.7,1.3727
