node_id,z,y,x,degree,is_interior,embedded,iou,fill,inscribed_radius_vox,diameter_um,radius_fill_vox,diameter_fill_um,box_material_frac,saturated
0,28.86448,603.87217,65.62873,5,0,0,0.25257,0.75419,2.00000,232.78363,0.00000,0.00000,0.34259,0
1,28.83475,682.58239,66.15705,5,0,0,0.25943,0.77031,3.00000,349.17545,2.73839,318.72650,0.32742,0
2,28.80502,761.29261,66.68538,3,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04141,0
3,29.07262,52.90064,61.93045,3,0,0,0.07171,0.09863,0.00000,0.00000,0.00000,0.00000,0.09824,0
4,29.04289,131.61086,62.45877,5,0,0,0.22338,0.59116,1.00000,116.39182,0.00000,0.00000,0.29850,0
5,29.01315,210.32108,62.98710,5,0,0,0.21784,0.58824,1.00000,116.39182,0.00000,0.00000,0.32710,0
6,28.98342,289.03130,63.51542,5,0,0,0.22279,0.60497,1.00000,116.39182,0.00000,0.00000,0.34061,0
7,28.95369,367.74152,64.04375,5,0,0,0.21400,0.57967,1.41421,164.60287,0.00000,0.00000,0.32794,0
8,29.10571,406.83754,103.30591,8,0,0,0.24645,1.00000,8.00000,931.13452,12.00000,1396.70178,0.66586,0
9,28.92395,446.45174,64.57208,5,0,0,0.22211,0.61983,1.00000,116.39182,0.00000,0.00000,0.34662,0
10,29.07597,485.54776,103.83423,8,0,0,0.24322,1.00000,8.24621,959.79144,12.00000,1396.70178,0.66470,0
11,28.89422,525.16195,65.10040,5,0,0,0.25264,0.71858,2.00000,232.78363,0.00000,0.00000,0.33683,0
12,29.04624,564.25798,104.36256,8,0,0,0.24339,1.00000,8.00000,931.13452,12.00000,1396.70178,0.64173,0
13,29.01651,642.96820,104.89089,8,0,0,0.25069,1.00000,7.00000,814.74268,11.36987,1323.36023,0.61530,0
14,28.98677,721.67842,105.41921,8,0,0,0.24238,1.00000,7.00000,814.74268,9.70831,1129.96790,0.55661,0
15,29.22464,91.99667,101.19260,8,0,0,0.25327,1.00000,7.00000,814.74268,10.36595,1206.51147,0.61133,0
16,29.19491,170.70688,101.72093,8,0,0,0.24576,1.00000,8.00000,931.13452,12.00000,1396.70178,0.66336,0
17,29.34693,209.80291,140.98309,8,0,0,0.24627,1.00000,9.05539,1053.97278,12.00000,1396.70178,0.71910,0
18,29.16518,249.41710,102.24926,8,0,0,0.24140,1.00000,8.06226,938.38080,12.00000,1396.70178,0.66957,0
