strut_id,label,r_eq_med_um,r_eq_min_um,r_eq_cv,offset_max_vox,tilt_deg,bow_vox,aspect_med,empty_sections,gap_len,gap_interior,border_frac,iou,reachable,detour,geo_len_vox,span_vox
0,thick,679.26526,631.56549,0.03351,4.74124,nan,nan,2.21667,0.00000,0.00000,0.00000,1.00000,0.20432,1.00000,1.02146,56.59725,55.40794
1,thick,823.46063,800.22247,0.03606,2.90330,nan,nan,1.46838,0.00000,0.00000,0.00000,1.00000,0.40932,1.00000,1.01354,56.15433,55.40422
2,thick,824.76874,771.41321,0.02814,3.26970,nan,nan,1.53182,0.00000,0.00000,0.00000,1.00000,0.40849,1.00000,0.99542,55.15433,55.40794
3,thick,760.15106,739.30133,0.04334,3.52862,nan,nan,1.60843,0.00000,0.00000,0.00000,1.00000,0.42988,1.00000,1.00606,55.74012,55.40422
4,nominal,278.60168,202.39944,0.11636,1.55413,2.06326,0.20734,1.53967,0.00000,0.00000,0.00000,0.00000,0.45242,1.00000,0.97285,54.05795,55.56631
5,nominal,333.22388,247.88770,0.07689,1.80675,1.48623,0.26963,1.47348,0.00000,0.00000,0.00000,0.00000,0.48670,1.00000,1.01714,56.47217,55.52045
6,nominal,333.22388,311.48615,0.03413,0.89458,0.61797,0.18989,1.27981,0.00000,0.00000,0.00000,0.00000,0.66488,1.00000,1.01058,56.15433,55.56631
7,nominal,320.02161,157.46405,0.15919,1.94670,1.54276,0.64545,1.27069,0.00000,0.00000,0.00000,0.00000,0.43556,1.00000,0.99341,55.15433,55.52045
8,nominal,353.62787,289.97784,0.12952,1.12874,0.77187,0.40972,1.53292,0.00000,0.00000,0.00000,0.00000,0.61868,1.00000,0.97653,54.05795,55.35720
9,nominal,344.36090,199.71854,0.23137,4.51364,6.28471,1.52279,1.65812,0.00000,0.00000,0.00000,0.00000,0.42562,1.00000,1.02750,56.74352,55.22502
10,missing,0.00000,0.00000,0.00000,0.00000,nan,nan,0.00000,25.00000,25.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,55.22502
11,nominal,388.49149,352.10031,0.05757,1.12476,0.40658,0.26314,1.40920,0.00000,0.00000,0.00000,0.00000,0.63608,1.00000,1.02014,56.47217,55.35720
12,nominal,384.30655,353.62787,0.04436,0.94364,0.32404,0.25067,1.40027,0.00000,0.00000,0.00000,0.00000,0.56782,1.00000,1.01440,56.15433,55.35720
13,nominal,423.03040,375.79688,0.10092,0.76013,1.52480,0.27807,1.53349,0.00000,0.00000,0.00000,0.00000,0.56585,1.00000,0.99872,55.15433,55.22502
14,nominal,291.83075,268.75397,0.03391,1.30942,0.77888,0.16375,1.39961,0.00000,0.00000,0.00000,0.00000,0.53402,1.00000,0.99542,55.15433,55.40794
15,nominal,355.14886,304.48560,0.06092,1.99687,2.16515,0.44914,1.26212,0.00000,0.00000,0.00000,0.00000,0.54898,1.00000,0.99549,55.15433,55.40422
16,thick,491.40720,436.82166,0.12079,2.16721,3.33873,0.47961,1.60162,0.00000,0.00000,0.00000,0.12000,0.48196,1.00000,1.01440,56.15433,55.35720
17,nominal,359.67322,349.02515,0.03407,1.23380,0.90370,0.24604,1.31171,0.00000,0.00000,0.00000,0.00000,0.61380,1.00000,1.00123,55.47217,55.40422
18,nominal,426.83582,388.49149,0.04836,0.99061,1.37426,0.32628,1.56030,0.00000,0.00000,0.00000,0.00000,0.56651,1.00000,0.99872,55.15433,55.22502
19,nominal,361.16876,328.33524,0.06076,0.65413,0.95400,0.25422,1.44748,0.00000,0.00000,0.00000,0.00000,0.63574,1.00000,0.99341,55.15433,55.52045
20,nominal,266.74081,241.27615,0.05601,1.27594,1.13743,0.28404,1.35116,0.00000,0.00000,0.00000,0.00000,0.51436,1.00000,1.00116,55.47217,55.40794
21,nominal,320.02161,252.19910,0.08151,1.57273,1.69713,0.17354,1.20686,0.00000,0.00000,0.00000,0.00000,0.57964,1.00000,1.01058,56.15433,55.56631
22,nominal,353.62787,338.04181,0.03917,0.92490,0.33407,0.23449,1.26113,0.00000,0.00000,0.00000,0.00000,0.67331,1.00000,1.01142,56.15433,55.52045
23,nominal,370.01505,353.62787,0.04913,0.75875,0.91354,0.17875,1.43662,0.00000,0.00000,0.00000,0.00000,0.63168,1.00000,0.99259,55.15433,55.56631
24,thick,806.93018,774.20312,0.02345,3.24787,nan,nan,1.59370,0.00000,0.00000,0.00000,1.00000,0.39700,1.00000,1.00116,55.47217,55.40794
25,thick,944.78430,884.06976,0.03915,1.85663,nan,nan,1.15917,0.00000,0.00000,0.00000,1.00000,0.36746,1.00000,0.99549,55.15433,55.40422
26,thick,945.92468,896.18085,0.03091,1.71495,nan,nan,1.15015,0.00000,0.00000,0.00000,1.00000,0.36445,1.00000,1.01347,56.15433,55.40794
27,thick,995.89008,975.65857,0.00990,0.60516,nan,nan,1.05464,0.00000,0.00000,0.00000,1.00000,0.37690,1.00000,1.01928,56.47217,55.40422
28,nominal,378.65469,359.67322,0.07082,1.54264,1.41616,0.21959,1.44090,0.00000,0.00000,0.00000,0.04000,0.59492,1.00000,1.01804,56.56854,55.56631
29,nominal,394.00232,358.17145,0.21830,2.14482,0.34951,0.21262,1.42276,0.00000,0.00000,0.00000,0.16000,0.58319,1.00000,1.01142,56.15433,55.52045
30,nominal,339.63263,323.37271,0.02610,1.08213,0.69612,0.18048,1.33090,0.00000,0.00000,0.00000,0.00000,0.63316,1.00000,0.99259,55.15433,55.56631
31,nominal,350.56610,328.33524,0.03689,0.42734,0.80262,0.10055,1.35629,0.00000,0.00000,0.00000,0.00000,0.69888,1.00000,1.01142,56.15433,55.52045
32,thick,446.58423,406.12827,0.06524,2.09257,0.42344,0.48408,1.54123,0.00000,0.00000,0.00000,0.00000,0.56142,1.00000,1.01440,56.15433,55.35720
33,nominal,431.85760,398.08533,0.15061,3.52338,3.95127,0.33642,1.61242,0.00000,0.00000,0.00000,0.12000,0.56876,1.00000,0.99872,55.15433,55.22502
34,nominal,394.00232,362.65814,0.06040,1.47963,0.73231,0.28976,1.53559,0.00000,0.00000,0.00000,0.00000,0.58936,1.00000,0.99872,55.15433,55.22502
35,nominal,394.00232,353.62787,0.06460,1.64109,0.79962,0.43134,1.51159,0.00000,0.00000,0.00000,0.00000,0.59254,1.00000,0.99634,55.15433,55.35720
36,nominal,430.60767,395.36798,0.03911,1.13138,0.70707,0.19732,1.52022,0.00000,0.00000,0.00000,0.00000,0.54471,1.00000,0.99634,55.15433,55.35720
37,thick,516.01935,402.12692,0.21908,2.72693,5.93016,0.37806,1.63290,0.00000,0.00000,0.00000,0.36000,0.51016,1.00000,1.00448,55.47217,55.22502
38,nominal,278.60168,220.25398,0.08306,0.86376,0.85129,0.24162,1.37842,0.00000,0.00000,0.00000,0.00000,0.54056,1.00000,0.99542,55.15433,55.40794
39,nominal,375.79688,339.63263,0.04520,1.62032,0.52727,0.17118,1.27627,0.00000,0.00000,0.00000,0.00000,0.55611,1.00000,1.01354,56.15433,55.40422
40,thick,511.82404,450.19061,0.20653,2.57442,2.19109,0.20653,1.50578,0.00000,0.00000,0.00000,0.32000,0.46867,1.00000,0.99634,55.15433,55.35720
41,nominal,361.16876,338.04181,0.05238,1.59971,0.72809,0.15620,1.16618,0.00000,0.00000,0.00000,0.00000,0.52341,1.00000,1.01354,56.15433,55.40422
42,nominal,367.08997,232.16808,0.16021,3.31954,6.94207,0.53923,1.44547,0.00000,0.00000,0.00000,0.00000,0.52054,1.00000,1.01599,56.10784,55.22502
43,nominal,412.71100,349.02515,0.20646,1.34934,2.00636,0.16390,1.51453,0.00000,0.00000,0.00000,0.12000,0.56842,1.00000,0.99341,55.15433,55.52045
44,nominal,300.92422,256.43805,0.06806,1.45650,0.75900,0.24808,1.31519,0.00000,0.00000,0.00000,0.00000,0.54135,1.00000,0.99542,55.15433,55.40794
45,nominal,338.04181,313.21188,0.03911,1.70290,0.26613,0.16468,1.24321,0.00000,0.00000,0.00000,0.00000,0.54513,1.00000,1.01058,56.15433,55.56631
46,nominal,364.14139,344.36090,0.03738,0.72577,0.32665,0.16577,1.16555,0.00000,0.00000,0.00000,0.00000,0.68948,1.00000,0.99341,55.15433,55.52045
47,nominal,415.31488,353.62787,0.26813,2.98630,1.18116,0.24502,1.40362,0.00000,0.00000,0.00000,0.20000,0.51102,1.00000,1.01058,56.15433,55.56631
48,thick,878.56525,812.91986,0.04220,2.78028,nan,nan,1.31304,0.00000,0.00000,0.00000,1.00000,0.41027,1.00000,0.99542,55.15433,55.40794
49,thick,982.26587,918.16528,0.02131,1.37473,nan,nan,1.08239,0.00000,0.00000,0.00000,1.00000,0.35290,1.00000,1.01354,56.15433,55.40422
50,thick,1014.65680,991.00696,0.00639,0.36045,nan,nan,1.01081,0.00000,0.00000,0.00000,1.00000,0.35261,1.00000,0.99542,55.15433,55.40794
51,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.36367,1.00000,1.01354,56.15433,55.40422
52,nominal,421.75427,356.66339,0.19409,1.86878,1.95418,0.19676,1.56394,0.00000,0.00000,0.00000,0.08000,0.51948,1.00000,0.99259,55.15433,55.56631
53,thick,438.05386,388.49149,0.36048,1.79888,1.27892,0.18505,1.45561,0.00000,0.00000,0.00000,0.24000,0.48616,1.00000,1.01142,56.15433,55.52045
