strut_id,label,r_eq_med_um,measurable
0,thick,679.3,0
1,thick,823.5,0
2,thick,824.8,0
3,thick,760.2,0
4,nominal,278.6,1
5,nominal,333.2,1
6,nominal,333.2,1
7,nominal,320.0,1
8,nominal,353.6,1
9,nominal,344.4,1
10,missing,0.0,1
11,nominal,388.5,1
12,nominal,384.3,1
13,nominal,423.0,1
14,nominal,291.8,1
15,nominal,355.1,1
16,thick,491.4,1
17,nominal,359.7,1
18,nominal,426.8,1
19,nominal,361.2,1
20,nominal,266.7,1
21,nominal,320.0,1
22,nominal,353.6,1
23,nominal,370.0,1
24,thick,806.9,0
25,thick,944.8,0
26,thick,945.9,0
27,thick,995.9,0
28,nominal,378.7,1
29,nominal,394.0,1
30,nominal,339.6,1
31,nominal,350.6,1
32,thick,446.6,1
33,nominal,431.9,1
34,nominal,394.0,1
35,nominal,394.0,1
36,nominal,430.6,1
37,thick,516.0,0
38,nominal,278.6,1
39,nominal,375.8,1
40,thick,511.8,0
41,nominal,361.2,1
42,nominal,367.1,1
43,nominal,412.7,1
44,nominal,300.9,1
45,nominal,338.0,1
46,nominal,364.1,1
47,nominal,415.3,1
48,thick,878.6,0
49,thick,982.3,0
50,thick,1014.7,0
51,thick,1017.8,0
52,nominal,421.8,1
53,thick,438.1,1
54,nominal,341.2,1
55,nominal,355.1,1
56,thick,442.9,1
57,thick,502.3,0
58,nominal,338.0,1
59,nominal,399.4,1
60,nominal,420.5,1
61,thick,516.0,0
62,nominal,290.0,1
63,nominal,362.7,1
64,thick,558.2,0
65,nominal,356.7,1
66,nominal,389.9,1
67,thick,482.6,1
68,nominal,325.0,1
69,nominal,341.2,1
70,nominal,355.1,1
71,thick,478.1,0
72,thick,939.6,0
73,thick,989.4,0
74,thick,1017.8,0
75,thick,1017.8,0
76,thick,496.9,1
77,thick,501.2,0
78,nominal,338.0,1
79,nominal,347.5,1
80,thick,493.6,1
81,nominal,419.2,0
82,nominal,412.7,1
83,nominal,375.8,1
84,nominal,407.5,1
85,thick,600.1,0
86,nominal,300.9,1
87,nominal,365.6,1
88,thick,617.8,0
89,nominal,345.9,1
90,nominal,377.2,1
91,thick,449.0,1
92,nominal,331.6,1
93,nominal,318.3,1
94,nominal,339.6,1
95,thick,525.3,0
96,thick,977.3,0
97,thick,976.2,0
98,thick,1017.8,0
99,thick,1017.8,0
100,thick,527.4,0
101,thick,531.5,0
102,nominal,325.0,1
103,nominal,341.2,1
104,thick,528.4,0
105,thick,541.5,1
106,nominal,355.1,1
107,nominal,398.1,1
108,nominal,408.8,1
109,thick,653.4,0
110,nominal,320.0,1
111,nominal,352.1,1
112,thick,637.5,0
113,nominal,344.4,1
114,nominal,372.9,1
115,thick,492.5,1
116,nominal,342.8,1
117,nominal,306.3,1
118,nominal,318.3,1
119,thick,512.9,0
120,thick,1011.5,0
121,thick,967.9,0
122,thick,1017.8,0
123,thick,1017.8,0
124,thick,547.4,1
