strut_id,junction0,junction1,node0,node1,unit_cell_edge_idx,is_boundary,embedded,z0,y0,x0,z1,y1,x1,z,y,x,iou,fill,profile_min,profile_mean,profile_std,station_iou_min,diameter_est_um,env_material_frac,radius_med_vox,radius_min_vox,radius_std_vox,excess_frac,gap_stations,gap_interior,n_nominal,n_matched,n_material_env,clipped
0,0,9,3,15,1,0,0,29.07262,52.90064,61.93045,29.22464,91.99667,101.19260,29.14863,72.44865,81.56152,0.20432,0.35926,0.15714,0.35973,0.10159,0.09053,209.78384,0.42560,0.00000,0.00000,0.43301,0.44868,0,0,1080,388,1207,0
1,1,9,29,15,2,0,1,29.40640,52.38247,139.92644,29.22464,91.99667,101.19260,29.31552,72.18957,120.55952,0.40932,0.99346,0.96341,0.99281,0.01172,0.30976,348.85327,0.88547,3.74166,3.31662,0.52897,0.66975,0,0,1070,1063,2590,0
2,2,9,31,15,3,0,0,29.37667,131.09269,140.45476,29.22464,91.99667,101.19260,29.30066,111.54468,120.82368,0.40849,0.91776,0.75969,0.92161,0.06522,0.30625,335.29874,0.79207,3.08114,2.00000,0.41592,0.68024,0,0,1070,982,2316,0
3,3,9,4,15,0,0,0,29.04289,131.61086,62.45877,29.22464,91.99667,101.19260,29.13377,111.80376,81.82569,0.42988,0.95906,0.91026,0.95780,0.03166,0.32235,342.76141,0.79008,3.00000,3.00000,0.46743,0.54746,0,0,1026,984,2247,0
4,0,10,3,185,13,0,0,29.07262,52.90064,61.93045,68.25170,92.30341,62.12090,48.66216,72.60203,62.02567,0.45242,0.50940,0.36250,0.51735,0.08548,0.33117,249.80255,0.23803,1.73205,1.41421,0.22866,0.02182,0,0,1064,542,676,0
5,3,10,4,185,12,0,0,29.04289,131.61086,62.45877,68.25170,92.30341,62.12090,48.64729,111.95714,62.28984,0.48670,0.62977,0.51370,0.63447,0.04796,0.39394,277.75259,0.33972,2.44949,2.23607,0.09241,0.07860,0,0,1075,677,993,0
6,4,10,371,185,28,0,0,107.43078,131.70619,62.31136,68.25170,92.30341,62.12090,87.84124,112.00480,62.21613,0.66488,0.80612,0.75000,0.80140,0.03131,0.50000,314.24515,0.38099,2.44949,2.44949,0.25831,0.02484,0,0,1078,869,1098,0
7,5,10,369,185,29,0,0,107.46051,52.99597,61.78303,68.25170,92.30341,62.12090,87.85610,72.64969,61.95197,0.43556,0.58507,0.27632,0.57509,0.11386,0.26250,267.71561,0.32554,1.70711,1.00000,0.48629,0.07975,0,0,1005,588,933,0
8,0,12,3,199,14,0,0,29.07262,52.90064,61.93045,68.43346,52.68922,100.85473,48.75304,52.79493,81.39259,0.61868,0.82801,0.66250,0.83221,0.09561,0.47644,318.48221,0.43437,2.82843,2.23607,0.30112,0.05852,0,0,1064,881,1241,0
9,1,12,29,199,15,0,0,29.40640,52.38247,139.92644,68.43346,52.68922,100.85473,48.91993,52.53585,120.39059,0.42562,0.64245,0.08750,0.61488,0.29678,0.07071,280.53604,0.41222,2.11803,0.00000,1.02033,0.09462,0,0,1060,681,1221,0
10,5,12,369,199,30,0,0,107.46051,52.99597,61.78303,68.43346,52.68922,100.85473,87.94698,52.84259,81.31888,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12,0,1042,0,0,0
11,6,12,384,199,31,0,0,107.79429,52.47780,139.77902,68.43346,52.68922,100.85473,88.11387,52.58351,120.31688,0.63608,0.93663,0.89041,0.93650,0.03242,0.46377,338.72809,0.51994,2.82843,2.82843,0.21157,0.07959,0,0,1073,1005,1512,0
