node_id,z,y,x,degree,is_interior,embedded,iou,fill,inscribed_radius_vox,diameter_um,radius_fill_vox,diameter_fill_um,box_material_frac,saturated
0,24.56078,762.56796,141.93211,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10605,0
1,24.49533,762.96955,62.95554,3,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01683,0
2,24.85579,644.30431,101.84117,8,0,0,0.24387,1.00000,10.34408,1194.49048,12.00000,1385.70898,0.68762,0
3,24.84471,683.19007,220.50691,8,0,0,0.23778,1.00000,11.35782,1311.55249,12.00000,1385.70898,0.71373,1
4,24.77926,683.59166,141.53034,8,0,0,0.24138,1.00000,10.72381,1238.33948,12.00000,1385.70898,0.69402,0
5,24.71382,683.99325,62.55377,5,0,0,0.13478,0.30769,0.00000,0.00000,0.00000,0.00000,0.31853,0
6,24.83363,722.07583,339.17265,8,0,0,0.25134,1.00000,10.63015,1227.52417,12.00000,1385.70898,0.69043,0
7,24.76819,722.47742,260.19608,8,0,0,0.23939,1.00000,10.63015,1227.52417,12.00000,1385.70898,0.69389,0
8,24.70274,722.87901,181.21951,8,0,0,0.24552,1.00000,9.21954,1064.63379,12.00000,1385.70898,0.67021,0
9,24.63730,723.28060,102.24294,8,0,0,0.24518,1.00000,8.36660,966.13947,12.00000,1385.70898,0.64147,0
10,24.82255,760.96159,457.83840,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16288,0
11,24.75711,761.36318,378.86182,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16237,0
12,24.69166,761.76477,299.88525,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13824,0
13,24.62622,762.16636,220.90868,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13536,0
14,25.07428,565.32801,101.43940,8,0,0,0.23882,1.00000,10.44031,1205.60229,12.00000,1385.70898,0.70771,0
15,25.06320,604.21377,220.10514,8,0,0,0.25167,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.76013,1
16,24.99775,604.61537,141.12857,8,0,0,0.24601,1.00000,11.04536,1275.47131,12.00000,1385.70898,0.72890,1
17,24.93231,605.01696,62.15200,5,0,0,0.14455,0.32708,0.00000,0.00000,0.00000,0.00000,0.31418,0
18,25.11757,642.69794,417.74745,8,0,0,0.24371,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.75469,1
19,25.05212,643.09954,338.77088,8,0,0,0.25000,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.75104,1
20,24.98668,643.50113,259.79431,8,0,0,0.24339,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.74387,1
21,24.92123,643.90272,180.81774,8,0,0,0.25285,1.00000,11.57584,1336.72852,12.00000,1385.70898,0.72966,1
22,25.10649,681.58371,536.41320,8,0,0,0.24308,1.00000,11.35782,1311.55249,12.00000,1385.70898,0.73626,1
23,25.04104,681.98530,457.43662,8,0,0,0.24600,1.00000,11.44552,1321.68042,12.00000,1385.70898,0.73037,1
24,24.97560,682.38689,378.46005,8,0,0,0.24240,1.00000,11.78983,1361.43909,12.00000,1385.70898,0.72461,1
25,24.91015,682.78848,299.48348,8,0,0,0.24140,1.00000,11.35782,1311.55249,12.00000,1385.70898,0.71802,1
26,25.09541,720.46947,655.07894,8,0,0,0.24186,1.00000,9.89950,1143.15161,12.00000,1385.70898,0.71910,0
27,25.02997,720.87106,576.10237,8,0,0,0.25168,1.00000,9.89950,1143.15161,12.00000,1385.70898,0.71424,0
28,24.96452,721.27265,497.12580,8,0,0,0.25033,1.00000,9.27362,1070.87805,12.00000,1385.70898,0.70118,0
29,24.89908,721.67424,418.14922,8,0,0,0.24602,1.00000,10.00000,1154.75757,12.00000,1385.70898,0.69715,0
30,25.08433,759.35523,773.74468,3,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01235,0
31,25.01889,759.75682,694.76811,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12902,0
32,24.95344,760.15841,615.79154,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16269,0
33,24.88800,760.56000,536.81497,5,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15520,0
34,25.36929,447.06437,61.34846,5,0,0,0.13033,0.29155,0.00000,0.00000,0.00000,0.00000,0.31482,0
35,25.35821,485.95013,180.01420,8,0,0,0.24533,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77779,1
36,25.29276,486.35172,101.03763,8,0,0,0.24373,1.00000,10.48809,1211.12000,12.00000,1385.70898,0.72070,0
37,25.34713,524.83589,298.67994,8,0,0,0.24437,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77869,1
38,25.28169,525.23748,219.70337,8,0,0,0.24486,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77869,1
39,25.21624,525.63907,140.72680,8,0,0,0.24403,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.75898,1
40,25.15080,526.04066,61.75023,5,0,0,0.15348,0.34043,0.00000,0.00000,0.00000,0.00000,0.33293,0
41,25.33605,563.72165,417.34568,8,0,0,0.24567,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77869,1
42,25.27061,564.12324,338.36911,8,0,0,0.24323,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77837,1
43,25.20517,564.52483,259.39254,8,0,0,0.24056,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77741,1
44,25.13972,564.92642,180.41597,8,0,0,0.24321,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.76781,1
45,25.32498,602.60741,536.01142,8,0,0,0.24061,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77414,1
46,25.25953,603.00900,457.03485,8,0,0,0.24585,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77318,1
47,25.19409,603.41059,378.05828,8,0,0,0.24256,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.77165,1
48,25.12864,603.81218,299.08171,8,0,0,0.25117,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.76717,1
49,25.31390,641.49317,654.67717,8,0,0,0.23942,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.76576,1
50,25.24845,641.89476,575.70060,8,0,0,0.24602,1.00000,12.00000,1385.70898,12.00000,1385.70898,0.76314,1
