strut_id,label,r_eq_med_um,measurable
0,thick,786.5,0
1,thick,909.2,0
2,thick,926.0,0
3,thick,866.2,0
4,nominal,280.2,1
5,nominal,329.0,1
6,nominal,325.8,1
7,nominal,310.7,1
8,nominal,340.1,1
9,nominal,343.2,1
10,missing,0.0,1
11,nominal,384.1,1
12,nominal,385.4,1
13,nominal,418.4,1
14,nominal,289.5,1
15,nominal,350.8,1
16,thick,497.2,1
17,nominal,358.3,1
18,nominal,428.5,1
19,nominal,361.3,1
20,nominal,266.6,1
21,nominal,324.1,1
22,nominal,349.3,1
23,nominal,364.2,1
24,thick,909.8,0
25,thick,1000.3,0
26,thick,1009.8,0
27,thick,1009.8,0
28,nominal,386.8,1
29,nominal,399.0,1
30,nominal,337.0,1
31,nominal,349.3,1
32,thick,457.2,0
33,nominal,432.2,1
34,nominal,388.2,1
35,nominal,401.6,1
36,nominal,428.5,1
37,thick,512.0,0
38,nominal,276.4,1
39,nominal,368.5,1
40,thick,516.1,0
41,nominal,347.8,1
42,nominal,362.7,1
43,nominal,413.3,1
44,nominal,298.6,1
45,nominal,330.6,1
46,nominal,356.8,1
47,nominal,417.2,0
48,thick,974.5,0
49,thick,1009.3,0
50,thick,1009.8,0
51,thick,1009.8,0
52,nominal,430.9,1
53,thick,475.4,0
54,nominal,337.0,1
55,nominal,353.9,1
56,thick,457.2,1
57,thick,509.9,0
58,nominal,341.7,1
59,nominal,392.3,1
60,nominal,423.5,1
61,thick,512.0,0
62,nominal,285.8,1
63,nominal,361.3,1
64,thick,601.5,0
65,nominal,350.8,1
66,nominal,393.6,1
67,thick,478.8,1
68,nominal,315.8,1
69,nominal,341.7,1
70,nominal,350.8,1
71,thick,515.1,0
72,thick,1008.8,0
73,thick,1009.8,0
74,thick,1009.8,0
75,thick,1009.8,0
76,thick,498.3,1
77,thick,504.7,0
78,nominal,337.0,1
79,nominal,347.8,1
80,thick,499.4,0
81,thick,445.5,0
82,nominal,408.2,1
83,nominal,377.1,1
84,nominal,405.6,1
85,thick,687.2,0
86,nominal,296.8,1
87,nominal,362.7,1
88,thick,653.9,0
89,nominal,344.7,1
90,nominal,382.7,1
91,thick,473.2,0
92,nominal,332.2,1
93,nominal,319.2,1
94,nominal,338.5,1
95,thick,645.8,0
96,thick,1009.8,0
97,thick,1009.8,0
98,thick,1009.8,0
99,thick,1009.8,0
100,thick,536.3,0
101,thick,567.0,0
102,nominal,319.2,1
103,nominal,344.7,1
104,thick,533.3,0
105,thick,544.1,0
106,nominal,355.4,1
107,nominal,397.6,1
108,nominal,402.9,1
109,thick,765.3,0
110,nominal,315.8,1
111,nominal,349.3,1
112,thick,742.1,0
113,nominal,341.7,1
114,nominal,367.1,1
115,thick,499.4,0
116,nominal,340.1,1
117,nominal,309.0,1
118,nominal,314.1,1
119,thick,594.4,0
120,thick,1009.8,0
121,thick,1009.8,0
122,thick,1009.8,0
123,thick,1009.8,0
124,thick,538.2,0
125,thick,569.8,0
126,nominal,337.0,1
127,nominal,335.4,1
128,thick,541.2,0
129,thick,552.8,0
130,nominal,346.3,1
131,nominal,378.5,0
132,nominal,393.6,1
133,thick,733.5,0
134,nominal,338.5,1
135,nominal,333.8,1
136,thick,806.5,0
137,nominal,307.3,1
138,nominal,388.2,1
139,thick,512.0,0
140,nominal,330.6,1
141,nominal,310.7,1
142,nominal,343.2,0
143,thick,776.4,0
144,thick,1009.8,0
145,thick,1009.8,0
146,thick,1009.8,0
147,thick,1009.8,0
148,thick,522.2,0
149,thick,532.3,0
150,nominal,329.0,1
151,nominal,337.0,1
152,thick,477.6,0
153,thick,582.7,0
154,nominal,372.8,1
155,nominal,355.4,0
156,nominal,395.0,0
157,thick,691.8,0
158,nominal,320.8,1
159,nominal,325.8,1
160,thick,749.2,0
161,nominal,295.0,1
162,nominal,388.2,1
163,thick,501.5,0
164,nominal,327.4,1
165,nominal,325.8,1
166,nominal,332.2,1
167,thick,762.6,0
168,thick,1009.8,0
169,thick,1009.8,0
170,thick,1009.8,0
171,thick,1009.8,0
172,thick,466.4,0
173,thick,500.4,0
174,nominal,317.5,1
175,nominal,329.0,1
176,nominal,434.6,0
177,thick,498.3,0
178,broken,333.8,1
179,nominal,353.9,0
180,nominal,379.9,0
181,thick,713.7,0
182,nominal,325.8,1
183,nominal,310.7,1
184,nominal,432.2,0
185,nominal,272.5,1
186,nominal,399.0,1
187,nominal,413.3,0
188,nominal,332.2,0
189,nominal,319.2,0
190,nominal,335.4,0
191,thick,666.8,0
192,thick,1009.8,0
193,thick,924.8,0
194,thick,995.0,0
195,thick,1009.8,0
196,nominal,365.7,0
197,nominal,389.5,0
198,nominal,324.1,0
199,nominal,319.2,0
200,nominal,274.5,0
201,broken,282.1,0
202,nominal,284.0,0
203,nominal,280.2,0
204,nominal,386.8,0
205,nominal,362.7,1
206,nominal,379.9,1
207,nominal,312.4,0
208,nominal,332.2,0
209,thick,649.1,0
210,nominal,319.2,1
211,nominal,274.5,1
212,nominal,332.2,0
213,nominal,284.0,0
214,broken,541.2,1
215,necked,343.2,0
216,nominal,338.5,0
217,nominal,298.6,0
218,nominal,303.8,0
219,nominal,353.9,0
220,thick,857.5,0
221,thick,1005.6,0
222,thick,949.2,0
223,thick,877.7,0
224,nominal,330.6,1
225,nominal,341.7,1
226,nominal,319.2,1
227,nominal,330.6,1
228,thick,447.8,1
229,thick,482.1,1
230,nominal,421.0,1
231,nominal,434.6,1
232,nominal,433.4,1
233,thick,488.6,0
234,nominal,314.1,1
235,nominal,368.5,1
236,thick,494.0,0
237,nominal,364.2,1
238,nominal,415.9,1
239,nominal,426.0,1
240,nominal,295.0,1
241,nominal,350.8,1
242,nominal,371.4,1
243,nominal,408.2,1
244,thick,1007.2,0
245,thick,1009.8,0
246,thick,1009.8,0
247,thick,1009.8,0
248,nominal,429.7,1
249,thick,446.6,0
250,nominal,330.6,1
251,nominal,349.3,1
252,thick,550.9,0
253,thick,531.3,0
254,nominal,427.2,1
255,thick,446.6,1
256,thick,440.7,1
257,thick,491.9,0
258,nominal,291.4,1
259,nominal,365.7,1
260,thick,673.1,0
261,nominal,367.1,1
262,nominal,372.8,1
263,thick,470.9,0
264,nominal,296.8,1
265,nominal,335.4,1
266,nominal,365.7,1
267,thick,491.9,0
268,thick,1009.8,0
269,thick,1009.8,0
270,thick,1009.8,0
271,thick,1009.8,0
272,thick,504.7,0
273,thick,505.7,0
274,nominal,343.2,1
275,nominal,358.3,1
276,thick,574.5,0
277,thick,672.3,0
278,nominal,421.0,1
279,nominal,423.5,1
280,nominal,413.3,1
281,thick,691.8,0
282,nominal,300.3,1
283,nominal,356.8,1
284,thick,813.7,0
285,nominal,349.3,1
286,nominal,413.3,1
287,thick,500.4,0
288,nominal,317.5,1
289,nominal,349.3,1
290,nominal,370.0,1
291,thick,742.8,0
292,thick,1009.8,0
293,thick,1009.8,0
294,thick,1009.8,0
295,thick,1009.8,0
296,thick,769.5,0
297,thick,797.9,0
298,nominal,332.2,1
299,nominal,368.5,1
300,thick,767.4,0
301,thick,826.0,0
302,nominal,404.2,1
303,nominal,422.2,1
304,nominal,419.7,1
305,thick,901.0,0
306,nominal,295.0,1
307,nominal,350.8,1
308,thick,930.0,0
309,nominal,346.3,1
310,nominal,388.2,1
311,thick,771.6,0
312,nominal,319.2,1
313,nominal,332.2,1
314,nominal,333.8,1
315,thick,886.1,0
316,thick,1009.8,0
317,thick,1009.8,0
318,thick,1009.8,0
319,thick,1009.8,0
320,thick,889.1,0
321,thick,936.8,0
322,nominal,341.7,1
323,nominal,350.8,1
324,thick,901.0,0
325,thick,878.3,0
326,nominal,362.7,1
327,nominal,388.2,1
328,nominal,417.2,1
329,thick,899.8,0
330,nominal,319.2,1
331,nominal,341.7,1
332,thick,927.7,0
333,nominal,327.4,1
334,nominal,384.1,1
335,thick,835.6,0
336,nominal,317.5,1
337,nominal,312.4,1
338,nominal,320.8,1
339,thick,935.6,0
340,thick,1009.8,0
341,thick,1009.8,0
342,thick,1009.8,0
343,thick,1009.8,0
344,thick,936.2,0
345,thick,945.8,0
346,nominal,335.4,1
347,nominal,341.7,1
348,thick,893.3,0
349,thick,831.8,0
350,nominal,405.6,1
351,nominal,402.9,0
352,nominal,408.2,1
353,thick,890.9,0
354,nominal,329.0,1
355,nominal,305.6,1
356,thick,943.6,0
357,nominal,302.1,1
358,nominal,415.9,1
359,thick,826.7,0
360,nominal,327.4,1
361,nominal,310.7,1
362,nominal,333.8,1
363,thick,943.6,0
364,thick,1009.8,0
365,thick,1009.8,0
366,thick,1009.8,0
367,thick,1009.8,0
368,thick,899.8,0
369,thick,910.9,0
370,nominal,346.3,1
371,nominal,347.8,1
372,thick,857.5,0
373,thick,782.5,0
374,nominal,404.2,1
375,nominal,370.0,0
376,nominal,374.3,0
377,thick,873.5,0
378,nominal,315.8,1
379,nominal,298.6,1
380,thick,930.5,0
381,nominal,276.4,1
382,nominal,408.2,1
383,thick,763.3,0
384,nominal,314.1,1
385,nominal,327.4,1
386,nominal,346.3,1
387,thick,942.4,0
388,thick,1009.8,0
389,thick,1009.8,0
390,thick,1009.8,0
391,thick,1009.8,0
392,thick,855.1,0
393,thick,809.1,0
394,nominal,341.7,1
395,nominal,337.0,1
396,thick,770.2,0
397,thick,693.3,0
398,nominal,375.7,1
399,nominal,343.2,0
400,nominal,362.7,0
401,thick,787.9,0
402,nominal,341.7,1
403,nominal,282.1,1
404,nominal,409.5,0
405,nominal,278.3,1
406,nominal,393.6,1
407,thick,593.5,0
408,nominal,312.4,1
409,nominal,337.0,0
410,nominal,358.3,0
411,thick,840.7,0
412,thick,1009.8,0
413,thick,986.4,0
414,thick,1000.9,0
415,thick,1009.8,0
416,nominal,437.0,0
417,broken,769.7,0
418,nominal,312.4,0
419,nominal,307.3,0
420,broken,303.8,0
421,nominal,302.1,0
422,nominal,287.7,0
423,nominal,268.6,0
424,nominal,378.5,0
425,thick,533.3,0
426,nominal,410.8,1
427,nominal,293.2,0
428,nominal,344.7,0
429,thick,644.1,0
430,nominal,319.2,1
431,nominal,282.1,0
432,nominal,337.0,0
433,nominal,303.8,0
434,broken,359.8,0
435,nominal,390.9,0
436,nominal,341.7,0
437,nominal,289.5,0
438,nominal,327.4,0
439,nominal,371.4,0
440,thick,867.4,0
441,thick,1009.3,0
442,thick,969.1,0
443,thick,913.3,0
444,nominal,358.3,1
445,nominal,353.9,1
446,nominal,333.8,1
447,nominal,332.2,1
448,thick,507.8,1
449,thick,544.1,0
450,nominal,423.5,1
451,thick,450.2,1
452,nominal,410.8,1
453,thick,483.2,0
454,nominal,347.8,1
455,nominal,359.8,1
456,thick,538.2,0
457,nominal,368.5,1
458,nominal,365.7,1
459,nominal,437.0,0
460,nominal,302.1,1
461,nominal,346.3,1
462,nominal,379.9,1
463,nominal,423.5,1
464,thick,1009.3,0
465,thick,1009.8,0
466,thick,1009.8,0
467,thick,1009.8,0
468,thick,463.0,1
469,thick,446.6,0
470,nominal,352.4,1
471,nominal,355.4,1
472,thick,623.2,0
473,thick,582.7,0
474,thick,452.5,1
475,nominal,390.9,1
476,thick,441.9,1
477,thick,512.0,0
478,nominal,307.3,1
479,nominal,358.3,1
480,thick,584.5,0
481,nominal,349.3,1
482,nominal,421.0,1
483,thick,524.2,0
484,nominal,296.8,1
485,nominal,361.3,1
486,nominal,367.1,1
487,thick,495.1,0
488,thick,1009.8,0
489,thick,1009.8,0
490,thick,1009.8,0
491,thick,1009.8,0
492,thick,643.3,0
493,thick,523.2,0
494,nominal,364.2,1
495,nominal,367.1,1
496,thick,785.9,0
497,thick,866.2,0
498,nominal,412.0,1
499,thick,461.8,1
500,thick,461.8,1
501,thick,712.9,0
502,nominal,296.8,1
503,nominal,346.3,1
504,thick,858.8,0
505,nominal,349.3,1
506,nominal,418.4,1
507,thick,694.1,0
508,nominal,295.0,1
509,nominal,349.3,1
510,nominal,335.4,1
511,thick,753.5,0
512,thick,1009.8,0
513,thick,1009.8,0
514,thick,1009.8,0
515,thick,1009.8,0
516,thick,853.8,0
517,thick,838.1,0
518,nominal,344.7,1
519,nominal,371.4,1
520,thick,904.5,0
521,thick,886.1,0
522,nominal,437.0,1
523,nominal,389.5,1
524,thick,452.5,1
525,thick,872.9,0
526,nominal,300.3,1
527,nominal,346.3,1
528,thick,933.4,0
529,nominal,346.3,1
530,nominal,372.8,1
531,thick,902.7,0
532,nominal,307.3,1
533,nominal,309.0,1
534,nominal,350.8,1
535,thick,915.6,0
536,thick,1009.8,0
537,thick,1009.8,0
538,thick,1009.8,0
539,thick,1009.8,0
540,thick,943.0,0
541,thick,940.2,0
542,nominal,337.0,1
543,nominal,349.3,1
544,thick,964.7,0
545,thick,919.6,0
546,nominal,418.4,1
547,nominal,365.7,1
548,nominal,432.2,1
549,thick,923.7,0
550,nominal,319.2,1
551,nominal,330.6,1
552,thick,975.6,0
553,nominal,325.8,1
554,nominal,421.0,1
555,thick,945.8,0
556,nominal,324.1,1
557,nominal,319.2,1
558,nominal,332.2,1
559,thick,963.6,0
560,thick,1009.8,0
561,thick,1009.8,0
562,thick,1009.8,0
563,thick,1009.8,0
564,thick,951.4,0
565,thick,937.3,0
566,nominal,333.8,1
567,nominal,337.0,1
568,thick,969.1,0
569,thick,874.7,0
570,thick,445.5,0
571,nominal,424.7,0
572,nominal,428.5,0
573,thick,907.4,0
574,nominal,341.7,1
575,nominal,303.8,1
576,thick,975.1,0
577,nominal,291.4,1
578,nominal,410.8,1
579,thick,958.6,0
580,nominal,327.4,1
581,nominal,317.5,1
582,nominal,349.3,0
583,thick,964.7,0
584,thick,1009.8,0
585,thick,1009.8,0
586,thick,1009.8,0
587,thick,1009.8,0
588,thick,964.7,0
589,thick,915.6,0
590,nominal,335.4,1
591,nominal,347.8,1
592,thick,949.7,0
593,thick,933.4,0
594,nominal,396.3,1
595,nominal,396.3,0
596,thick,443.1,0
597,thick,937.9,0
598,nominal,320.8,0
599,nominal,282.1,1
600,thick,963.0,0
601,nominal,284.0,1
602,nominal,395.0,1
603,thick,931.1,0
604,nominal,327.4,0
605,nominal,338.5,1
606,nominal,337.0,1
607,thick,941.9,0
608,thick,1009.8,0
609,thick,1009.8,0
610,thick,1009.8,0
611,thick,1009.8,0
612,thick,952.0,0
613,thick,921.9,0
614,nominal,333.8,0
615,nominal,352.4,0
616,thick,905.7,0
617,thick,774.3,0
618,nominal,418.4,1
619,nominal,349.3,0
620,nominal,349.3,0
621,thick,853.8,0
622,nominal,314.1,0
623,nominal,284.0,1
624,thick,651.5,0
625,nominal,291.4,0
626,nominal,400.3,1
627,thick,782.5,0
628,nominal,333.8,1
629,nominal,325.8,0
630,nominal,338.5,0
631,thick,871.7,0
632,thick,1009.8,0
633,thick,999.8,0
634,thick,1008.3,0
635,thick,1009.8,0
636,nominal,430.9,0
637,thick,580.0,0
638,nominal,333.8,0
639,nominal,317.5,0
640,broken,284.0,0
641,nominal,329.0,0
642,nominal,270.6,0
643,broken,277.4,0
644,nominal,428.5,0
645,thick,582.7,0
646,nominal,430.9,1
647,nominal,289.5,0
648,broken,258.6,0
649,thick,673.1,0
650,nominal,332.2,0
651,nominal,289.5,0
652,broken,298.6,0
653,nominal,296.8,0
654,nominal,393.6,1
655,nominal,406.9,0
656,nominal,333.8,1
657,nominal,303.8,0
658,nominal,322.5,0
659,nominal,386.8,0
660,thick,878.3,0
661,thick,1009.8,0
662,thick,975.1,0
663,thick,915.6,0
664,nominal,349.3,1
665,nominal,368.5,0
666,nominal,327.4,1
667,nominal,346.3,1
668,thick,474.3,1
669,thick,543.1,0
670,nominal,414.6,1
671,nominal,424.7,1
672,nominal,437.0,1
673,nominal,422.2,0
674,nominal,350.8,1
675,nominal,361.3,1
676,thick,493.0,0
677,nominal,356.8,1
678,nominal,397.6,1
679,thick,443.1,0
680,nominal,325.8,1
681,nominal,343.2,1
682,nominal,377.1,1
683,nominal,432.2,1
684,thick,1009.8,0
685,thick,1009.8,0
686,thick,1009.8,0
687,thick,1009.8,0
688,nominal,428.5,1
689,thick,452.5,0
690,nominal,338.5,1
691,nominal,364.2,1
692,thick,591.8,0
693,thick,555.7,0
694,nominal,435.8,1
695,thick,451.4,1
696,nominal,434.6,1
697,thick,494.0,0
698,nominal,335.4,1
699,nominal,350.8,1
700,thick,590.0,0
701,nominal,332.2,1
702,nominal,430.9,1
703,thick,487.5,0
704,nominal,327.4,1
705,nominal,350.8,1
706,nominal,374.3,1
707,thick,470.9,0
708,thick,1009.8,0
709,thick,1009.8,0
710,thick,1009.8,0
711,thick,1009.8,0
712,thick,515.1,0
713,thick,464.1,0
714,nominal,365.7,1
715,nominal,377.1,1
716,thick,749.9,0
717,thick,887.3,0
718,nominal,409.5,1
719,nominal,395.0,1
720,nominal,409.5,1
721,thick,759.1,0
722,nominal,343.2,1
723,nominal,337.0,1
724,thick,800.6,0
725,nominal,335.4,1
726,nominal,392.3,1
727,thick,679.4,0
728,nominal,317.5,1
729,nominal,333.8,1
730,nominal,356.8,1
731,thick,715.2,0
732,thick,1009.8,0
733,thick,1009.8,0
734,thick,1009.8,0
735,thick,1009.8,0
736,thick,835.6,0
737,thick,781.1,0
738,nominal,352.4,1
739,nominal,353.9,1
740,thick,903.9,0
741,thick,914.4,0
742,nominal,393.6,1
743,nominal,428.5,1
744,thick,447.8,1
745,thick,872.9,0
746,nominal,325.8,1
747,nominal,340.1,1
748,thick,902.2,0
749,nominal,332.2,1
750,nominal,406.9,1
751,thick,879.5,0
752,nominal,302.1,1
753,nominal,335.4,1
754,nominal,325.8,1
755,thick,817.0,0
756,thick,1009.8,0
757,thick,1009.8,0
758,thick,1009.8,0
759,thick,1009.8,0
760,thick,912.1,0
761,thick,862.5,0
762,nominal,341.7,1
763,nominal,344.7,1
764,thick,944.1,0
765,thick,901.6,0
766,nominal,396.3,1
767,nominal,413.3,0
768,thick,446.6,1
769,thick,906.3,0
770,nominal,322.5,1
771,nominal,322.5,1
772,thick,967.4,0
773,nominal,310.7,1
774,nominal,428.5,1
775,thick,932.8,0
776,nominal,330.6,1
777,nominal,329.0,1
778,nominal,352.4,1
779,thick,902.2,0
780,thick,1009.8,0
781,thick,1009.8,0
782,thick,1009.8,0
783,thick,1009.8,0
784,thick,909.2,0
785,thick,874.1,0
786,nominal,333.8,1
787,nominal,343.2,1
788,thick,979.4,0
789,thick,924.2,0
790,nominal,386.8,1
791,nominal,413.3,0
792,nominal,358.3,0
793,thick,899.8,0
794,nominal,322.5,1
795,nominal,289.5,1
796,thick,933.9,0
797,nominal,289.5,1
798,nominal,423.5,1
799,thick,902.2,0
800,nominal,320.8,1
801,nominal,327.4,1
802,nominal,333.8,1
803,thick,906.9,0
804,thick,1009.8,0
805,thick,1009.8,0
806,thick,1009.8,0
807,thick,1009.8,0
808,thick,945.2,0
809,thick,868.0,0
810,nominal,338.5,1
811,nominal,341.7,1
812,thick,965.2,0
813,thick,901.0,0
814,nominal,338.5,1
815,nominal,390.9,0
816,nominal,424.7,0
817,thick,898.0,0
818,nominal,324.1,0
819,nominal,296.8,1
820,thick,935.6,0
821,nominal,300.3,0
822,nominal,432.2,1
823,thick,905.7,0
824,nominal,329.0,0
825,nominal,338.5,1
826,nominal,330.6,1
827,thick,896.9,0
828,thick,1009.8,0
829,thick,1009.8,0
