strut_id,junction0,junction1,node0,node1,unit_cell_edge_idx,is_boundary,embedded,z0,y0,x0,z1,y1,x1,z,y,x,iou,fill,profile_min,profile_mean,profile_std,station_iou_min,diameter_est_um,env_material_frac,radius_med_vox,radius_min_vox,radius_std_vox,excess_frac,gap_stations,gap_interior,n_nominal,n_matched,n_material_env,clipped
0,0,9,145,149,1,0,0,26.46173,52.18289,59.33960,26.38521,91.47025,99.02878,26.42347,71.82657,79.18419,0.40308,0.88634,0.72727,0.88945,0.07603,0.30499,329.51022,0.74885,3.00000,2.00000,0.47629,0.61826,0,0,1091,967,2275,0
1,1,9,144,149,2,0,1,26.52718,51.78130,138.31618,26.38521,91.47025,99.02878,26.45619,71.62577,118.67248,0.36054,1.00000,1.00000,1.00000,0.00000,0.30901,350.00000,0.99934,5.91608,5.38516,0.23747,0.91516,0,0,1091,1091,3026,0
2,2,9,122,149,3,0,1,26.30869,130.75760,138.71795,26.38521,91.47025,99.02878,26.34695,111.11392,118.87336,0.36504,1.00000,1.00000,1.00000,0.00000,0.31304,350.00000,0.99498,6.04138,5.00000,0.41034,0.93840,0,0,1086,1086,2975,0
3,3,9,123,149,0,0,1,26.24324,131.15919,59.74137,26.38521,91.47025,99.02878,26.31423,111.31472,79.38508,0.38834,0.99728,0.97945,0.99829,0.00568,0.32051,349.52328,0.94485,4.58258,3.74166,0.45206,0.82472,0,0,1102,1099,2827,0
4,0,10,145,303,13,0,0,26.46173,52.18289,59.33960,65.84113,91.78045,59.50832,46.15143,71.98167,59.42396,0.20845,0.26763,0.15493,0.27223,0.06558,0.12500,181.06577,0.20601,1.00000,0.00000,0.43301,0.07726,0,0,1106,296,610,0
5,3,10,123,303,12,0,0,26.24324,131.15919,59.74137,65.84113,91.78045,59.50832,46.04219,111.46982,59.62485,0.10800,0.14968,0.04444,0.15290,0.04151,0.03468,135.41174,0.19578,0.00000,0.00000,0.00000,0.20214,0,0,1109,166,594,0
6,4,10,487,303,28,0,0,105.22053,131.37801,59.67704,65.84113,91.78045,59.50832,85.53083,111.57923,59.59268,0.17011,0.24549,0.22619,0.24540,0.01493,0.14103,173.41339,0.26175,0.00000,0.00000,0.00000,0.16860,0,0,1108,272,763,0
7,5,10,508,303,29,0,0,105.43902,52.40171,59.27527,65.84113,91.78045,59.50832,85.64008,72.09108,59.39180,0.33310,0.44671,0.12346,0.46122,0.15750,0.08947,233.92728,0.28249,1.57313,0.00000,0.64063,0.07403,0,0,1079,482,850,0
8,0,12,145,327,14,0,0,26.46173,52.18289,59.33960,65.98310,52.09151,98.79572,46.22242,52.13720,79.06766,0.55610,0.73088,0.46377,0.73917,0.13354,0.32821,299.21942,0.38782,2.63896,1.73205,0.39931,0.04724,0,0,1085,793,1134,0
9,1,12,144,327,15,0,0,26.52718,51.78130,138.31618,65.98310,52.09151,98.79572,46.25514,51.93640,118.55595,0.23812,0.37627,0.09756,0.36097,0.14418,0.08333,214.69421,0.35330,1.41421,0.00000,0.51101,0.14368,0,0,1079,406,1032,0
