strut_id,is_boundary_cap,in_plate_region,midpoint_z,midpoint_y,midpoint_x,verdict,confidence,tube_occupancy,longest_empty_run_samples
0,0,1,26.423,71.827,79.184,uncertain,1.000,1,0
1,0,1,26.456,71.626,118.672,uncertain,1.000,1,0
2,0,1,26.347,111.114,118.873,uncertain,1.000,1,0
3,0,1,26.314,111.315,79.385,uncertain,1.000,1,0
4,0,1,46.151,71.982,59.424,uncertain,1.000,1,0
5,0,1,46.042,111.470,59.625,uncertain,1.000,0.9697,1
6,0,1,85.531,111.579,59.593,uncertain,1.000,1,0
7,0,1,85.640,72.091,59.392,uncertain,1.000,1,0
8,0,1,46.222,52.137,79.068,uncertain,1.000,1,0
9,0,1,46.255,51.936,118.556,uncertain,1.000,1,0
10,0,1,85.711,52.247,79.035,uncertain,1.000,0,33
11,0,1,85.744,52.046,118.524,uncertain,1.000,1,0
12,0,1,85.602,91.735,79.236,uncertain,1.000,1,0
13,0,1,46.113,91.625,79.269,uncertain,1.000,1,0
14,0,1,65.803,111.424,79.353,uncertain,1.000,1,0
15,0,1,65.912,71.936,79.152,uncertain,1.000,1,0
16,0,1,46.146,91.425,118.757,uncertain,1.000,1,0
17,0,1,65.836,111.223,118.841,uncertain,1.000,1,0
18,0,1,85.635,91.534,118.725,uncertain,1.000,1,0
19,0,1,46.184,71.781,98.912,uncertain,1.000,1,0
20,0,1,65.945,71.735,118.640,uncertain,1.000,1,0
21,0,1,85.673,71.890,98.880,uncertain,1.000,1,0
22,0,1,85.564,111.378,99.081,uncertain,1.000,1,0
23,0,1,46.075,111.269,99.113,uncertain,1.000,1,0
24,0,1,26.489,71.425,158.161,uncertain,1.000,1,0
25,0,1,26.522,71.224,197.649,uncertain,1.000,1,0
26,0,1,26.412,110.712,197.850,uncertain,1.000,1,0
27,0,1,26.380,110.913,158.362,uncertain,1.000,1,0
28,0,1,46.217,71.580,138.401,uncertain,1.000,1,0
29,0,1,46.108,111.068,138.601,uncertain,1.000,1,0
30,0,1,85.596,111.178,138.569,uncertain,1.000,1,0
31,0,1,85.706,71.689,138.368,uncertain,1.000,1,0
32,0,1,46.288,51.736,158.044,uncertain,1.000,1,0
33,0,1,46.321,51.535,197.533,uncertain,1.000,1,0
34,0,1,85.777,51.845,158.012,uncertain,1.000,1,0
35,0,1,85.809,51.644,197.500,uncertain,1.000,1,0
36,0,1,85.667,91.333,158.213,uncertain,1.000,1,0
37,0,1,46.179,91.224,158.245,uncertain,1.000,1,0
38,0,1,65.868,111.023,158.329,uncertain,1.000,1,0
39,0,1,65.978,71.534,158.129,uncertain,1.000,1,0
40,0,1,46.211,91.023,197.733,uncertain,1.000,1,0
41,0,1,65.901,110.822,197.818,uncertain,1.000,1,0
42,0,1,85.700,91.132,197.701,uncertain,1.000,1,0
43,0,1,46.250,71.379,177.889,uncertain,1.000,1,0
44,0,1,66.010,71.334,197.617,uncertain,1.000,1,0
45,0,1,85.738,71.489,177.857,uncertain,1.000,1,0
46,0,1,85.629,110.977,178.058,uncertain,1.000,1,0
47,0,1,46.140,110.867,178.090,uncertain,1.000,1,0
48,0,1,26.554,71.023,237.137,uncertain,1.000,1,0
49,0,1,26.587,70.823,276.626,uncertain,1.000,1,0
50,0,1,26.478,110.311,276.827,uncertain,1.000,1,0
51,0,1,26.445,110.512,237.338,uncertain,1.000,1,0
52,0,1,46.282,71.178,217.377,uncertain,1.000,1,0
53,0,1,46.173,110.667,217.578,uncertain,1.000,1,0
54,0,1,85.662,110.776,217.546,uncertain,1.000,1,0
55,0,1,85.771,71.288,217.345,uncertain,1.000,1,0
56,0,1,46.353,51.334,237.021,uncertain,1.000,1,0
57,0,1,46.386,51.133,276.509,uncertain,1.000,1,0
58,0,1,85.842,51.443,236.989,uncertain,1.000,1,0
59,0,1,85.875,51.243,276.477,uncertain,1.000,1,0
60,0,1,85.733,90.932,237.190,uncertain,1.000,1,0
61,0,1,46.244,90.822,237.222,uncertain,1.000,1,0
62,0,1,65.934,110.621,237.306,uncertain,1.000,1,0
63,0,1,66.043,71.133,237.105,uncertain,1.000,1,0
64,0,1,46.277,90.621,276.710,uncertain,1.000,1,0
65,0,1,65.966,110.420,276.794,uncertain,1.000,1,0
66,0,1,85.765,90.731,276.678,uncertain,1.000,1,0
67,0,1,46.315,70.978,256.865,uncertain,1.000,1,0
68,0,1,66.076,70.932,276.593,uncertain,1.000,1,0
69,0,1,85.804,71.087,256.833,uncertain,1.000,1,0
70,0,1,85.694,110.575,257.034,uncertain,1.000,1,0
71,0,1,46.206,110.466,257.066,uncertain,1.000,1,0
72,0,1,26.620,70.622,316.114,uncertain,1.000,1,0
73,0,1,26.653,70.421,355.602,uncertain,1.000,1,0
74,0,1,26.543,109.909,355.803,uncertain,1.000,1,0
75,0,1,26.511,110.110,316.315,uncertain,1.000,1,0
76,0,1,46.348,70.777,296.354,uncertain,1.000,1,0
77,0,1,46.239,110.265,296.555,uncertain,1.000,1,0
78,0,1,85.727,110.374,296.522,uncertain,1.000,1,0
79,0,1,85.836,70.886,296.322,uncertain,1.000,1,0
80,0,1,46.419,50.932,315.997,uncertain,1.000,1,0
81,0,1,46.451,50.732,355.486,uncertain,1.000,1,0
