z,y,x,ring,nearest_blob_vox,material_frac,inscribed_radius_vox,raw_ct_mean,design_node,design_dist_vox,design_degree,sphere_fill_3d,skan_dist_vox,skan_degree
148,172.4923745111749,63.47215733138506,edge,54.47707865391599,,,,,,,,,
227,53.01850361292975,256.99729799893606,edge,55.06029938026771,,,,,,,,,
227,403.6237485884935,765.3434538754426,edge,54.01394205225931,,,,,,,,,
264,447.61208488315566,64.66602323105047,edge,54.045620678482415,,,,,,,,,
264,526.2200036877736,65.1658266368596,edge,54.576195074996185,,,,,,,,,
345,285.60533494602026,764.6530151095126,edge,54.83475673984047,,,,,,,,,
383,565.7444823986091,64.97007047000056,edge,54.589803094489596,,,,,,,,,
383,167.44175746773277,763.7104518067839,edge,54.28422141336925,,,,,,,,,
383,324.8215237351658,764.724350533412,edge,54.520877333643035,,,,,,,,,
383,560.8911731363153,766.2451986233542,edge,55.81824502052325,,,,,,,,,
383,639.5810562700319,766.7521479866682,edge,54.92795235925288,,,,,,,,,
421,369.20127591983317,63.565504789005274,edge,50.65704125866315,,,,,,,,,
421,526.4341862868188,64.590369613789,edge,54.674190469067284,,,,,,,,,
421,364.3862907544733,764.8939107874264,edge,54.41403014354832,,,,,,,,,
421,679.9221081918578,611.0928835484558,interior,55.12846908051152,0.0,0.0,30671.79849379198,1935,2.187369482533672,12,0.0,54.88760921616641,11
462,250.9505590068701,62.93833695488678,edge,55.15486517596143,,,,,,,,,
462,325.3103422030525,764.8248223145864,edge,54.34443447417837,,,,,,,,,
500,364.6700702319356,764.871593997686,edge,54.44563767815191,,,,,,,,,
500,211.93398502345363,62.66390654928796,edge,55.07529859723932,,,,,,,,,
500,683.286141780658,143.3938629525823,interior,55.907081694866314,0.0,0.0,30821.362711174435,2189,0.8320602130172928,12,0.0,55.49614854878168,11
541,482.9171682105406,765.6603500773243,edge,54.13723172261821,,,,,,,,,
541,329.90824875467325,63.32118226574454,edge,54.43288351672068,,,,,,,,,
578,369.4289813592251,63.56152299765046,edge,54.109023581727676,,,,,,,,,
578,210.0886157480385,374.2434120616008,interior,54.89875283117462,0.4300834520659475,4.898979485566356,39510.1174435172,2605,1.612249882984459,12,0.9013698697090149,3.378171568290421,9
578,605.3425437922026,65.04088195392092,edge,54.66397160218393,,,,,,,,,
578,364.78350238352164,764.8148118259444,edge,54.42059758546611,,,,,,,,,
621,251.6411558034181,62.60945345506428,edge,54.30754000788921,,,,,,,,,
621,330.2343602606365,63.0647956275468,edge,54.28029331679665,,,,,,,,,
621,487.42076917507325,63.975479972511835,edge,54.0371409006284,,,,,,,,,
621,644.6071780895101,64.88616431747681,edge,54.51434663743378,,,,,,,,,
655,605.1666677298579,65.04690727077934,edge,54.22615771604781,,,,,,,,,
696,247.2409694827894,764.2960541888921,edge,54.619238263867295,,,,,,,,,
696,404.43880156162743,765.2233444614204,edge,54.29688971610616,,,,,,,,,
696,483.03771760104644,765.6869895976846,edge,49.9592075306387,,,,,,,,,
696,561.6366336404653,766.1506347339489,edge,54.654641525486,,,,,,,,,
