rank,strut_id,verdict,score_mm,full_distance_mm,defective_distance_mm,junction0,junction1,registered_junction0_xyz,registered_junction1_xyz,cad_junction0_xyz,cad_junction1_xyz
1,2872,missing,0.845021,0.397406,1.599413,1624,1634,"[692.2931508056713, 286.1178677333671, 105.30711192927883]","[692.4618699177418, 325.71542466470845, 144.68651224954965]","[16.0, 6.0, 2.0]","[16.0, 7.0, 3.0]"
2,2845,missing,0.841241,0.413459,1.597429,1611,1619,"[692.2931508056713, 286.1178677333671, 105.30711192927883]","[653.005750785532, 325.8068107241732, 105.16514508864871]","[16.0, 6.0, 2.0]","[15.0, 7.0, 2.0]"
3,2948,missing,0.816765,0.120597,1.381522,1666,1676,"[218.8354965274353, 367.50370950461706, 104.6959549014939]","[219.00421563950573, 407.1012664359583, 144.0753552217647]","[4.0, 8.0, 2.0]","[4.0, 9.0, 3.0]"
4,16358,missing,0.773089,1.816460,2.986731,9190,9192,"[769.5497485659523, 50.5379444163715, 737.8463408544252]","[730.2623485458128, 90.2268874071776, 737.7043740137951]","[18.0, 0.0, 18.0]","[17.0, 1.0, 18.0]"
5,2944,missing,0.745538,0.135556,1.309113,1666,1675,"[218.8354965274353, 367.50370950461706, 104.6959549014939]","[258.5246673548872, 406.79106133749536, 104.61943273016871]","[4.0, 8.0, 2.0]","[5.0, 9.0, 2.0]"
6,2921,missing,0.604496,0.102489,1.116688,1653,1661,"[218.8354965274353, 367.50370950461706, 104.6959549014939]","[179.5480965072958, 407.192652495423, 104.55398806086379]","[4.0, 8.0, 2.0]","[3.0, 9.0, 2.0]"
7,935,missing,0.521432,0.178573,1.115303,537,542,"[218.8354965274353, 367.50370950461706, 104.6959549014939]","[219.06854822267738, 406.8824473969601, 65.09806556926773]","[4.0, 8.0, 2.0]","[4.0, 9.0, 1.0]"
8,12668,missing,0.502788,0.382418,1.127142,7136,7134,"[454.808723651797, 249.0379985097977, 539.5951155160749]","[494.2648427840068, 248.94661245033296, 579.1164826769758]","[10.0, 5.0, 13.0]","[11.0, 5.0, 14.0]"
9,955,missing,0.465935,0.102842,0.772483,549,555,"[298.2781707655107, 445.85959413137573, 25.565620906346528]","[337.56557078565027, 406.1706511405696, 25.707587746976706]","[6.0, 10.0, 0.0]","[7.0, 9.0, 0.0]"
10,3492,missing,0.430264,0.316780,0.964850,1984,1982,"[535.7140406444962, 563.4474914516171, 143.90015587507392]","[575.1701597767062, 563.3561053921525, 183.42152303597487]","[12.0, 13.0, 3.0]","[13.0, 13.0, 4.0]"
11,859,missing,0.424856,0.587037,1.400762,495,500,"[692.2931508056713, 286.1178677333671, 105.30711192927883]","[692.5262025009133, 325.49660562571034, 65.7092225970526]","[16.0, 6.0, 2.0]","[16.0, 7.0, 1.0]"
12,16695,missing,0.405025,0.461099,1.100308,9351,9347,"[178.46294592253994, 290.3693530523829, 697.2113939725236]","[178.29422681046952, 250.7717961210415, 657.8319936522529]","[3.0, 6.0, 17.0]","[3.0, 5.0, 16.0]"
13,2868,missing,0.403663,0.576084,1.397755,1624,1633,"[692.2931508056713, 286.1178677333671, 105.30711192927883]","[731.9823216331233, 325.4052195662456, 105.23058975795358]","[16.0, 6.0, 2.0]","[17.0, 7.0, 2.0]"
14,16769,missing,0.375124,0.397238,1.003929,9390,9389,"[375.7034876378622, 249.87722774572165, 697.4842501517637]","[415.22393935324374, 249.5670226472588, 658.0283276601677]","[8.0, 5.0, 17.0]","[9.0, 5.0, 16.0]"
15,15056,missing,0.373780,0.101444,0.683762,8481,8479,"[297.59479098806736, 408.01258951202, 618.0045378060513]","[258.13867185585747, 408.1039755714846, 578.4831706451504]","[6.0, 9.0, 15.0]","[5.0, 9.0, 14.0]"
16,2952,missing,0.373737,0.343235,1.161490,1666,1678,"[218.8354965274353, 367.50370950461706, 104.6959549014939]","[258.2916156596452, 367.41232344515237, 144.2173220623948]","[4.0, 8.0, 2.0]","[5.0, 8.0, 3.0]"
17,4925,missing,0.362201,0.199376,0.650266,2782,2781,"[60.9867413611512, 408.12326779081167, 222.92175553565178]","[100.50719307653273, 407.81306269234875, 183.4658330440558]","[0.0, 9.0, 5.0]","[1.0, 9.0, 4.0]"
18,12722,missing,0.356695,0.335400,0.935352,7165,7162,"[691.738436194571, 247.83322503601497, 539.7914495239899]","[652.2179844791897, 248.14343013447785, 579.2473720155856]","[16.0, 5.0, 13.0]","[15.0, 5.0, 14.0]"
19,2860,missing,0.332766,0.421844,0.800351,1621,1619,"[692.4618699177418, 325.71542466470845, 144.68651224954965]","[653.005750785532, 325.8068107241732, 105.16514508864871]","[16.0, 7.0, 3.0]","[15.0, 7.0, 2.0]"
20,1504,missing,0.322321,0.307906,0.872570,865,863,"[693.7315149228509, 562.4254900967637, 65.05375556118676]","[654.2753957906409, 562.5168761562285, 25.532388400285885]","[16.0, 13.0, 1.0]","[15.0, 13.0, 0.0]"
21,4500,missing,0.315878,0.406273,0.998126,2534,2544,"[138.9910514820473, 210.17153005417381, 184.04477790859647]","[139.15977059411773, 249.76908698551514, 223.4241782288673]","[2.0, 4.0, 4.0]","[2.0, 5.0, 5.0]"
22,12662,missing,0.315106,0.372643,1.028229,7130,7136,"[454.9774427638674, 288.6355554411391, 578.9745158363455]","[454.808723651797, 249.0379985097977, 539.5951155160749]","[10.0, 6.0, 14.0]","[10.0, 5.0, 13.0]"
23,11142,missing,0.297411,0.145709,0.641387,6282,6285,"[613.6297395447764, 405.9685868023132, 460.3117371782772]","[653.3189103722282, 445.25593863519185, 460.23521500695205]","[14.0, 9.0, 11.0]","[15.0, 10.0, 11.0]"
